pair_id,window,sequence,frame,threshold_tier,retention_tier,elevated,pressure,frame_sha256,backend
0,event,2011_09_26_drive_0001_sync,28,NANO,NANO,False,0.862,84976ffb68a246c6c7412ef49d06d276df3030c4581014473a57c6ddefc7c73f,onnx
0,event,2011_09_26_drive_0001_sync,29,NANO,NANO,False,0.862,a134711f425749090f035feecfd616b530426d03bc0da1b12bbabea88669c7c0,onnx
0,event,2011_09_26_drive_0001_sync,30,NANO,NANO,False,0.862,46dd66333eab53860120712d85d019c993000b8be78a6b81b0818876d6fcb3a1,onnx
0,event,2011_09_26_drive_0001_sync,31,NANO,NANO,False,0.862,13ff675a5308146dcdbe35bc136e82b371737d3f5f21ef206d6ffd4051664f08,onnx
0,event,2011_09_26_drive_0001_sync,32,NANO,NANO,False,0.862,1646245243d0ce47ff9e0465e9d49586034e7bc97374b20d988b1e1a5d81dab1,onnx
0,control,2011_09_26_drive_0001_sync,0,SMALL,SMALL,False,0.862,04a9f0fdc1bb70e6c548583987c7447b9bd93b56d781277dadf01c586664243b,onnx
0,control,2011_09_26_drive_0001_sync,1,SMALL,SMALL,False,0.862,cae35f43d4c4b85c4259e6f8cefe3047912d2e689036351b08dde2cad66e8a72,onnx
0,control,2011_09_26_drive_0001_sync,2,NANO,NANO,False,0.862,8687e5df465130bfa4f80e45a9c7fa67a181e2cffc6b1d8a5017c5a54d67bec3,onnx
0,control,2011_09_26_drive_0001_sync,3,NANO,NANO,False,0.862,daca1d5c2823bb398ff0b8428d6fcd64b91cc3422cde29283d70c19af68e2839,onnx
0,control,2011_09_26_drive_0001_sync,4,NANO,NANO,False,0.862,a455a4080e0ce6ba0d8bfa20350f55520833e6c1bfba17b0bc31aadd2c2b7158,onnx
1,event,2011_09_26_drive_0014_sync,99,NANO,NANO,False,0.862,d20c86e73e24055bb887d3c654b562a35355aa751d2fd338be622a871816ed29,onnx
1,event,2011_09_26_drive_0014_sync,100,NANO,NANO,False,0.862,3955b5d299b0d94af1b40dbed155139dd90e4438ef833733a099fc10f54d8117,onnx
1,event,2011_09_26_drive_0014_sync,101,NANO,NANO,False,0.862,26c3c4e1116981d72c5588e71b30bdc9940acb91342740a9cfa4ff14d0ae308f,onnx
1,event,2011_09_26_drive_0014_sync,102,NANO,NANO,False,0.862,2f6bc26e8125024b9c0f472dae1bf0dd42ca667613b13b397f0beea0b4886d45,onnx
1,event,2011_09_26_drive_0014_sync,103,NANO,NANO,False,0.862,ef282b9d94960d5a5c8098ffe3832e720dcfbec1b5d75df45d49d75121c27202,onnx
1,control,2011_09_26_drive_0014_sync,5,NANO,NANO,False,0.862,d16b18929529d7fc8c849b1e6c0f4d76b70c0d25c7d2d9426aba9e29d160d209,onnx
