image,policy,policy_label,load_profile,tier,latency_ms,pressure,load_injector,load_worker_processes,backend,execution_providers,coreml_provider_options,vru_tp,vru_fp,vru_fn,obstacle_tp,obstacle_fp,obstacle_fn,frame_sha256
006201.png,threshold,Threshold,moderate,SMALL,67.614,0.499,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},1,0,0,0,0,0,e5ac3345d0f7e75072d6bb230badf301f7e163066ad734ef66f3e3a810d1eff3
007377.png,threshold,Threshold,moderate,SMALL,63.889,0.7442,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,1,1,1,0,2,cea7c108f356eb292c1ea0c9c95a6f6c9872e3d59752c5cc18489df7095afb51
006587.png,threshold,Threshold,moderate,SMALL,82.813,0.7442,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,0,0,5,1,2,e03f0b957169b69443169c2d06d9940b45cc6a8e7a21122b0a4ab8f84391731e
006905.png,threshold,Threshold,moderate,SMALL,98.035,0.8395,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,0,0,2,0,0,c5b07198e34937f9d6a96a96dc15eee3713b977e20f818afc01921f68de14a82
007244.png,threshold,Threshold,moderate,SMALL,137.843,0.7757,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,3,6badbe31f7aefbb8794399fb85e9cbdfea11bb66f388ea4f2abd6ff86f2c686a
007031.png,threshold,Threshold,moderate,NANO,27.697,0.8642,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,0,0,3,0,6,c3516b23561229f611bb5c7edf7a76064656346c8a8b1eed311534fe610e0b56
006369.png,threshold,Threshold,moderate,NANO,41.129,0.8642,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,0,1,1,1,3,9620d192ff6a8283ab60a8d9d238f5bb753dd38f923678bef984d739ff3f91f0
006254.png,threshold,Threshold,moderate,NANO,24.479,0.836,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,5,c3d39d9d7e83f8ce7a8c64cbb90edd91615d9fa91b252d964b6fe19baa1d9a5f
006781.png,threshold,Threshold,moderate,NANO,17.482,0.836,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,0,0,5,2,3,fdb6e131042d2e4d738e828910b41dafc7687aaf9fcba371d6113cef6936d154
006840.png,threshold,Threshold,moderate,NANO,23.306,0.8645,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,0,0,2,0,2,51f93f375e1cf6ff0c3149776a4e473a5629812db4649edb7784723352843f4d
007416.png,threshold,Threshold,moderate,NANO,21.86,0.8645,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},0,0,1,1,0,0,b9e64205e08c82f29fdc52d79c01fe9ee6e574215eb7d754fa9f88bb48c3fd04
007420.png,threshold,Threshold,moderate,NANO,22.966,0.8202,process_steady_v3,7,onnx,['CPUExecutionProvider'],{},1,7,10,0,0,1,532e8f10c7e76fecef972928806e6e1992cc435dbea5579fdf46b121d50cbabd
