status,simulated,backend,dataset,tier,image,n_gt,n_predictions,tp50,vru_tp,vru_gt,person_tp,person_gt,cyclist_tp,cyclist_gt
passed,False,onnx,kitti,SMALL,005981.png,7,6,3,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005982.png,10,9,7,0,2,0,0,0,2
passed,False,onnx,kitti,SMALL,005983.png,15,12,6,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005984.png,9,4,0,0,1,0,1,0,0
passed,False,onnx,kitti,SMALL,005985.png,4,4,1,1,4,1,2,0,2
passed,False,onnx,kitti,SMALL,005986.png,6,6,2,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005987.png,5,12,5,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005988.png,17,9,6,6,16,6,16,0,0
passed,False,onnx,kitti,SMALL,005989.png,1,0,0,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005990.png,2,2,2,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005991.png,5,3,2,0,1,0,1,0,0
passed,False,onnx,kitti,SMALL,005992.png,5,4,4,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005993.png,1,1,1,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005994.png,4,5,3,2,3,2,3,0,0
passed,False,onnx,kitti,SMALL,005995.png,1,1,1,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005996.png,10,10,7,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005997.png,5,0,0,0,2,0,0,0,2
passed,False,onnx,kitti,SMALL,005998.png,5,4,4,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,005999.png,7,5,4,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006000.png,5,4,4,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006001.png,3,4,1,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006002.png,5,4,2,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006003.png,9,8,6,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006004.png,5,2,2,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006005.png,9,9,5,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006006.png,10,6,0,0,10,0,7,0,3
passed,False,onnx,kitti,SMALL,006007.png,15,11,7,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006008.png,8,8,6,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006009.png,4,3,3,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006010.png,2,2,1,0,1,0,0,0,1
passed,False,onnx,kitti,SMALL,006011.png,12,9,8,0,3,0,3,0,0
passed,False,onnx,kitti,SMALL,006012.png,2,1,0,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006013.png,3,4,3,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006014.png,4,4,3,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006015.png,5,6,4,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006016.png,9,7,4,0,1,0,0,0,1
passed,False,onnx,kitti,SMALL,006017.png,2,4,2,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006018.png,7,10,7,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006019.png,3,2,2,0,1,0,0,0,1
passed,False,onnx,kitti,SMALL,006020.png,2,1,1,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006021.png,4,3,2,0,1,0,0,0,1
passed,False,onnx,kitti,SMALL,006022.png,3,3,3,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006023.png,3,3,0,0,1,0,0,0,1
passed,False,onnx,kitti,SMALL,006024.png,5,5,3,1,3,1,2,0,1
passed,False,onnx,kitti,SMALL,006025.png,5,5,5,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006026.png,8,7,5,0,2,0,0,0,2
passed,False,onnx,kitti,SMALL,006027.png,8,5,5,0,2,0,0,0,2
passed,False,onnx,kitti,SMALL,006028.png,1,0,0,0,0,0,0,0,0
passed,False,onnx,kitti,SMALL,006029.png,1,1,1,1,1,1,1,0,0
