tier,imgsz,map50,map5095,vru_recall,vru_precision,vru_f1,vru_fn_rate,frame_miss_rate
NANO,320,0.0173,0.0073,0.2441,0.5794,0.3435,0.7559,0.5882
SMALL,416,0.0191,0.0082,0.378,0.4923,0.4276,0.622,0.4608
MEDIUM,640,0.0348,0.0174,0.5866,0.3041,0.4005,0.4134,0.1667
