run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,light,0.25,process_steady_v3,15,,SMALL,11.706,0.4154,37.1,70.2,,0.0,0.17260265350341797,59.0,1485.0,nvml,0.007,8.17,2.632,0.872,1407.074,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,light,0.25,process_steady_v3,15,,SMALL,9.958,0.5028,51.3,71.1,,0.0,0.17260265350341797,59.0,1485.0,nvml,0.009,7.756,1.341,0.844,10.174,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,light,0.25,process_steady_v3,15,,SMALL,10.888,0.4923,49.5,71.2,,0.0,0.17260265350341797,59.0,1485.0,nvml,0.003,8.353,1.367,1.152,11.133,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,,,,,,,False
3,0,threshold,light,0.25,process_steady_v3,15,,SMALL,9.935,0.4923,49.5,71.2,,0.0,0.17260265350341797,59.0,1485.0,nvml,0.004,7.643,1.38,0.895,10.152,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,threshold,light,0.25,process_steady_v3,15,,SMALL,9.877,0.4923,49.5,71.2,,0.0,0.17260265350341797,59.0,1485.0,nvml,0.004,7.689,1.372,0.8,10.106,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,predictive,light,0.25,process_steady_v3,15,,MEDIUM,44.677,0.3084,18.9,71.1,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.159,36.611,6.156,1.89,45.325,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,47,True,006201.png,,,,,,,,,,False
1,0,predictive,light,0.25,process_steady_v3,15,,MEDIUM,33.326,0.4387,39.2,71.2,,1.0,0.23510265350341797,60.0,1485.0,nvml,0.01,27.328,4.053,1.928,33.816,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,32,True,007377.png,,,,,,,,,,False
2,0,predictive,light,0.25,process_steady_v3,15,,SMALL,10.889,0.4387,39.2,71.2,,1.0,0.23510265350341797,60.0,1485.0,nvml,0.162,8.127,1.763,0.982,11.28,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,,,,,,,False
3,0,predictive,light,0.25,process_steady_v3,15,,SMALL,10.088,0.4387,39.2,71.2,,1.0,0.23510265350341797,60.0,1485.0,nvml,0.007,7.865,1.426,0.78,10.285,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,predictive,light,0.25,process_steady_v3,15,,SMALL,10.652,0.4387,39.2,71.2,,1.0,0.23510265350341797,60.0,1485.0,nvml,0.012,8.207,1.449,0.978,10.888,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,safety,light,0.25,process_steady_v3,15,,SMALL,30.357,0.4681,45.5,71.1,,0.0,0.17309093475341797,59.0,615.0,nvml,0.009,27.86,1.662,0.815,30.554,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,safety,light,0.25,process_steady_v3,15,,SMALL,31.487,0.4681,45.5,71.1,,0.0,0.17309093475341797,59.0,615.0,nvml,0.039,28.189,2.396,0.838,31.707,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,safety,light,0.25,process_steady_v3,15,,SMALL,32.562,0.4741,46.5,71.1,,0.0,0.17309093475341797,59.0,615.0,nvml,0.012,28.581,2.119,1.841,32.759,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,,,,,,,False
3,0,safety,light,0.25,process_steady_v3,15,,SMALL,31.923,0.4741,46.5,71.1,,0.0,0.17309093475341797,59.0,615.0,nvml,0.009,28.533,2.038,1.323,32.121,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,safety,light,0.25,process_steady_v3,15,,SMALL,32.6,0.5747,49.6,71.1,,41.0,0.17309093475341797,59.0,637.0,nvml,0.007,29.066,2.13,1.342,32.784,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,10.629,0.4245,38.2,71.2,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.011,8.178,1.444,0.99,10.89,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,10.69,0.4245,38.2,71.2,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.013,8.141,1.744,0.783,10.888,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,11.087,0.4245,38.2,71.2,,0.0,0.17260265350341797,60.0,1485.0,nvml,5.373,7.983,1.83,1.258,16.701,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,,,,,,,False
3,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,10.173,0.4098,35.8,71.1,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.103,7.744,1.44,0.973,10.473,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,10.601,0.4098,35.8,71.1,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.095,8.022,1.419,1.144,10.976,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,safety2,light,0.25,process_steady_v3,15,,SMALL,28.883,0.3696,29.1,71.1,,0.0,0.17211437225341797,59.0,885.0,nvml,0.01,26.571,1.377,0.913,28.999,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
