run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,10.45,0.5573,62.5,66.0,,0.0,0.17260265350341797,52.0,1485.0,nvml,0.018,7.889,1.409,1.128,1437.974,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,23.532453,28.500655,33.468856,19.82,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
1,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,11.049,0.4662,46.9,67.0,,0.0,0.17260265350341797,52.0,1485.0,nvml,0.019,8.06,1.637,1.329,11.212,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,0.157411,0.187458,0.217505,16.72,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
2,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,11.924,0.4662,46.9,67.0,,0.0,0.17260265350341797,52.0,1485.0,nvml,7.092,8.396,1.89,1.616,19.147,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,0.268828,0.320143,0.371458,16.72,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
3,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,10.68,0.5588,61.3,67.1,,3.0,0.17260265350341797,53.0,1485.0,nvml,0.231,7.896,1.91,0.85,11.014,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,12,False,006905.png,,,,0.193564,0.236056,0.278549,21.432,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
4,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,10.032,0.5588,61.3,67.1,,3.0,0.17260265350341797,53.0,1485.0,nvml,0.106,7.872,1.211,0.931,10.262,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,007244.png,,,,0.180348,0.219939,0.259531,21.432,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
5,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,10.171,0.5588,61.3,67.1,,3.0,0.17260265350341797,53.0,1485.0,nvml,0.106,7.617,1.116,1.419,10.415,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,35,False,007031.png,,,,0.183038,0.223221,0.263403,21.432,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
6,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,10.772,0.5588,61.3,67.1,,3.0,0.17260265350341797,53.0,1485.0,nvml,0.134,8.374,1.48,0.894,11.053,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,False,006369.png,,,,0.194247,0.23689,0.279533,21.432,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
7,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,9.933,0.5588,61.3,67.1,,3.0,0.17260265350341797,53.0,1485.0,nvml,0.096,7.774,1.222,0.919,10.162,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,0,False,006254.png,,,,0.178594,0.217801,0.257007,21.432,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
8,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,9.808,0.4406,41.6,67.1,,3.0,0.17260265350341797,53.0,1485.0,nvml,0.119,7.655,1.099,1.037,10.031,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,42,False,006781.png,,,,0.146636,0.175454,0.204271,17.492,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
9,0,adaptive,moderate,0.5,process_steady_v3,15,,SMALL,10.862,0.4406,41.6,67.1,,3.0,0.17260265350341797,53.0,1485.0,nvml,0.163,8.355,1.6,0.885,11.164,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,11,False,006840.png,,,,0.163209,0.195284,0.227359,17.492,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
