run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,burst,0.85,process_isolated_burst_v2,15,0,SMALL,10.751,0.6916,83.3,69.8,,0.0,0.17260265350341797,64.0,1485.0,nvml,0.01,8.019,1.865,0.848,1739.77,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,burst,0.85,process_isolated_burst_v2,15,1,SMALL,10.29,0.5675,62.2,70.8,,0.0,0.17260265350341797,64.0,1485.0,nvml,0.008,7.828,1.328,1.12,10.502,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,burst,0.85,process_isolated_burst_v2,15,2,SMALL,11.324,0.5675,62.2,70.8,,0.0,0.17260265350341797,64.0,1485.0,nvml,0.005,7.997,1.902,1.412,11.482,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,,,,,,,False
3,0,threshold,burst,0.85,process_isolated_burst_v2,15,3,SMALL,10.927,0.5675,62.2,70.8,,0.0,0.17260265350341797,64.0,1485.0,nvml,0.003,7.978,1.944,0.992,11.116,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,threshold,burst,0.85,process_isolated_burst_v2,15,4,SMALL,11.81,0.5675,62.2,70.8,,0.0,0.17260265350341797,64.0,1485.0,nvml,0.004,8.64,1.963,1.191,12.059,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,predictive,burst,0.85,process_isolated_burst_v2,15,0,NANO,9.057,0.694,83.3,70.8,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.202,6.647,1.725,0.666,9.391,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,3,True,006201.png,,,,,,,,,,False
1,0,predictive,burst,0.85,process_isolated_burst_v2,15,1,NANO,9.406,0.694,83.3,70.8,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.013,7.699,1.301,0.385,9.526,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,10,False,007377.png,,,,,,,,,,False
2,0,predictive,burst,0.85,process_isolated_burst_v2,15,2,NANO,7.732,0.694,83.3,70.8,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.009,5.859,1.242,0.619,7.866,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,24,False,006587.png,,,,,,,,,,False
3,0,predictive,burst,0.85,process_isolated_burst_v2,15,3,NANO,7.026,0.694,83.3,70.8,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.009,5.613,1.04,0.362,7.137,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,006905.png,,,,,,,,,,False
4,0,predictive,burst,0.85,process_isolated_burst_v2,15,4,NANO,6.999,0.6976,83.9,70.8,,0.0,0.17211437225341797,64.0,1485.0,nvml,0.005,5.677,0.883,0.429,7.136,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,4,False,007244.png,,,,,,,,,,False
0,0,safety,burst,0.85,process_isolated_burst_v2,15,0,SMALL,12.428,0.7676,95.6,70.7,,0.0,0.17211437225341797,65.0,1485.0,nvml,0.01,8.339,2.972,1.098,12.62,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,safety,burst,0.85,process_isolated_burst_v2,15,1,SMALL,11.819,0.7318,89.6,70.8,,0.0,0.17211437225341797,64.0,1485.0,nvml,0.011,8.245,2.365,1.196,11.994,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,safety,burst,0.85,process_isolated_burst_v2,15,2,SMALL,11.467,0.7318,89.6,70.8,,0.0,0.17211437225341797,64.0,1485.0,nvml,0.018,7.926,2.151,1.38,11.648,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,,,,,,,False
