run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,12.971,0.5095,54.5,66.1,,0.0,0.17211437225341797,51.0,1485.0,nvml,0.009,8.915,2.987,1.041,1741.152,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,26.407182,31.727272,37.047362,18.222,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
1,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,12.349,0.5809,66.4,66.1,,0.0,0.17211437225341797,52.0,1485.0,nvml,0.019,8.824,2.625,0.876,12.587,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,0.213374,0.259324,0.305273,20.602,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
2,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,12.603,0.5451,60.4,66.2,,0.0,0.17211437225341797,52.0,1485.0,nvml,6.344,8.341,2.876,1.368,19.192,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,0.308096,0.372409,0.436723,19.404,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
3,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,11.221,0.5451,60.4,66.2,,0.0,0.17211437225341797,52.0,1485.0,nvml,0.153,7.867,2.084,1.253,11.674,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,12,False,006905.png,,,,0.187411,0.226532,0.265653,19.404,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
4,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,11.926,0.5451,60.4,66.2,,0.0,0.17211437225341797,52.0,1485.0,nvml,0.137,8.655,2.355,0.895,12.253,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,007244.png,,,,0.196693,0.237751,0.27881,19.404,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
5,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,12.178,0.5451,60.4,66.2,,0.0,0.17211437225341797,52.0,1485.0,nvml,0.152,8.411,2.501,1.244,12.602,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,35,False,007031.png,,,,0.202293,0.244521,0.286749,19.404,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
6,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,12.191,0.5735,58.8,66.2,,19.0,0.17211437225341797,52.0,1485.0,nvml,0.14,8.837,2.026,1.308,12.597,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,False,006369.png,,,,0.308693,0.386397,0.464101,30.674,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
7,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,11.795,0.5735,58.8,66.2,,19.0,0.17211437225341797,52.0,1485.0,nvml,0.161,8.336,2.648,0.762,12.155,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,0,False,006254.png,,,,0.297857,0.372833,0.44781,30.674,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
8,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,11.693,0.5735,58.8,66.2,,19.0,0.17211437225341797,52.0,1485.0,nvml,0.137,8.144,2.059,1.474,12.074,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,42,False,006781.png,,,,0.29587,0.370346,0.444822,30.674,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
9,0,adaptive,heavy,0.75,process_steady_v3,15,,SMALL,10.718,0.5735,58.8,66.2,,19.0,0.17211437225341797,52.0,1485.0,nvml,0.117,7.958,1.567,1.173,11.097,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,11,False,006840.png,,,,0.271947,0.340402,0.408856,30.674,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
