run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,34.514,0.2361,7.8,68.8,,0.0,0.17260265350341797,51.0,1485.0,nvml,0.12,27.49,5.327,1.635,1262.12,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,47,True,006201.png,,,,10.351905,11.278301,12.204697,8.936,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
1,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,32.082,0.3275,22.7,69.6,,0.0,0.17260265350341797,51.0,1485.0,nvml,0.014,27.58,2.415,2.066,32.343,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,32,True,007377.png,,,,0.337953,0.385918,0.433883,11.932,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
2,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,33.052,0.3275,22.7,69.6,,0.0,0.17260265350341797,51.0,1485.0,nvml,3.891,27.908,3.125,1.99,37.214,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,60,False,006587.png,,,,0.388852,0.444041,0.49923,11.932,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
3,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,32.114,0.3257,16.7,69.7,,17.0,0.17260265350341797,53.0,1485.0,nvml,0.12,27.744,2.845,1.494,32.482,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,19,False,006905.png,,,,0.562852,0.685504,0.808157,21.104,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
4,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,31.592,0.3257,16.7,69.7,,17.0,0.17260265350341797,53.0,1485.0,nvml,0.09,27.379,2.459,1.723,31.931,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,35,False,007244.png,,,,0.553304,0.673876,0.794448,21.104,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
5,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,31.927,0.3257,16.7,69.7,,17.0,0.17260265350341797,53.0,1485.0,nvml,0.09,27.396,2.864,1.647,32.265,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,007031.png,,,,0.559081,0.680912,0.802743,21.104,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
6,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,27.264,0.3605,22.5,69.7,,17.0,0.17260265350341797,53.0,1485.0,nvml,0.095,23.015,2.46,1.767,27.612,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,36,True,006369.png,,,,0.502489,0.61476,0.727032,22.264,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
7,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,27.338,0.3605,22.5,69.7,,17.0,0.17260265350341797,53.0,1485.0,nvml,0.098,23.006,2.47,1.841,27.691,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,33,False,006254.png,,,,0.503924,0.616517,0.729109,22.264,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
8,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,27.692,0.3605,22.5,69.7,,17.0,0.17260265350341797,53.0,1485.0,nvml,0.09,22.955,2.624,2.091,28.045,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,71,False,006781.png,,,,0.510368,0.624401,0.738433,22.264,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
9,0,adaptive,idle,0.0,process_steady_v3,0,,SMALL,8.729,0.4274,19.6,69.8,,59.0,0.17260265350341797,53.0,2085.0,nvml,0.244,6.518,1.499,0.695,9.081,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,11,False,006840.png,,,,0.335796,0.429567,0.523338,47.306,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
