run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,idle,0.0,process_steady_v3,0,,SMALL,10.519,0.297,18.0,68.7,,0.0,0.17211437225341797,58.0,1485.0,nvml,0.01,8.185,1.305,1.009,1274.036,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,idle,0.0,process_steady_v3,0,,SMALL,9.902,0.3216,21.6,69.9,,0.0,0.17211437225341797,58.0,1485.0,nvml,0.011,7.826,1.125,0.927,10.041,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,idle,0.0,process_steady_v3,0,,MEDIUM,43.177,0.3216,21.6,69.9,,0.0,0.17211437225341797,58.0,1485.0,nvml,0.162,35.947,5.249,1.956,43.574,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,threshold,idle,0.0,process_steady_v3,0,,MEDIUM,34.33,0.3216,21.6,69.9,,0.0,0.17211437225341797,58.0,1485.0,nvml,0.008,28.964,3.747,1.563,34.591,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,threshold,idle,0.0,process_steady_v3,0,,MEDIUM,32.397,0.4175,36.5,70.0,,0.0,0.23461437225341797,58.0,1485.0,nvml,0.008,28.052,2.505,1.811,32.641,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
0,0,predictive,idle,0.0,process_steady_v3,0,,MEDIUM,43.356,0.297,17.5,69.9,,0.0,0.17211437225341797,59.0,1755.0,nvml,0.149,38.639,3.018,1.658,43.782,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,47,True,006201.png,,,,,,,,,,False
1,0,predictive,idle,0.0,process_steady_v3,0,,MEDIUM,30.641,0.297,17.5,69.9,,0.0,0.17211437225341797,59.0,1755.0,nvml,0.013,25.444,3.335,1.811,30.913,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,32,True,007377.png,,,,,,,,,,False
2,0,predictive,idle,0.0,process_steady_v3,0,,MEDIUM,28.695,0.3287,21.7,70.0,,0.0,0.23461437225341797,59.0,1755.0,nvml,0.008,24.385,2.571,1.719,28.969,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,predictive,idle,0.0,process_steady_v3,0,,MEDIUM,30.695,0.3287,21.7,70.0,,0.0,0.23461437225341797,59.0,1755.0,nvml,0.007,25.447,3.364,1.86,30.991,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,predictive,idle,0.0,process_steady_v3,0,,MEDIUM,29.713,0.4529,30.4,70.0,,36.0,0.23461437225341797,61.0,1627.0,nvml,0.006,25.526,2.565,1.598,29.984,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
0,0,safety,idle,0.0,process_steady_v3,0,,SMALL,12.896,0.2622,11.7,69.9,,0.0,0.17260265350341797,58.0,915.0,nvml,0.01,10.579,1.491,0.802,13.014,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,safety,idle,0.0,process_steady_v3,0,,SMALL,13.945,0.2622,11.7,69.9,,0.0,0.17260265350341797,58.0,915.0,nvml,0.013,11.884,1.112,0.933,14.068,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,safety,idle,0.0,process_steady_v3,0,,MEDIUM,137.907,0.2622,11.7,69.9,,0.0,0.17260265350341797,58.0,915.0,nvml,0.402,131.995,3.422,2.461,138.652,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,safety,idle,0.0,process_steady_v3,0,,MEDIUM,69.462,0.3665,26.7,70.0,,7.0,0.17260265350341797,58.0,862.0,nvml,0.007,64.932,2.539,1.973,69.736,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,safety,idle,0.0,process_steady_v3,0,,MEDIUM,28.639,0.4695,18.2,70.0,,84.0,0.17260265350341797,58.0,1807.0,nvml,0.008,24.146,2.829,1.623,28.905,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
0,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,36.568,0.2998,18.0,69.8,,0.0,0.17260265350341797,59.0,1807.0,nvml,0.155,31.799,2.864,1.877,36.98,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,47,True,006201.png,,,,,,,,,,False
1,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,46.095,0.2998,18.0,69.8,,0.0,0.17260265350341797,59.0,1807.0,nvml,0.011,41.9,2.561,1.612,46.441,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,32,True,007377.png,,,,,,,,,,False
2,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,46.687,0.3233,16.8,70.0,,12.0,0.23510265350341797,59.0,787.0,nvml,4.336,42.021,2.913,1.733,51.314,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,46.867,0.3233,16.8,70.0,,12.0,0.23510265350341797,59.0,787.0,nvml,0.098,41.816,3.495,1.535,47.216,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,adaptive,idle,0.0,process_steady_v3,0,,MEDIUM,38.728,0.3461,20.6,70.0,,12.0,0.23510265350341797,59.0,787.0,nvml,0.096,33.327,3.468,1.897,39.079,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
0,0,safety2,idle,0.0,process_steady_v3,0,,SMALL,11.073,0.2923,16.8,69.7,,0.0,0.17260265350341797,58.0,1350.0,nvml,0.009,8.617,1.584,0.847,11.198,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,safety2,idle,0.0,process_steady_v3,0,,MEDIUM,41.82,0.2923,16.8,69.7,,0.0,0.17260265350341797,58.0,1350.0,nvml,0.158,36.354,3.278,2.138,42.32,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,32,True,007377.png,,,,,,,,,,False
2,0,safety2,idle,0.0,process_steady_v3,0,,MEDIUM,57.147,0.2923,16.8,69.7,,0.0,0.17260265350341797,58.0,1350.0,nvml,0.016,52.512,2.765,1.845,58.113,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,safety2,idle,0.0,process_steady_v3,0,,MEDIUM,58.087,0.374,26.7,69.8,,11.0,0.17260265350341797,58.0,585.0,nvml,0.007,53.55,2.491,2.008,58.479,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,safety2,idle,0.0,process_steady_v3,0,,MEDIUM,50.451,0.3596,24.3,69.8,,11.0,0.17260265350341797,58.0,585.0,nvml,0.007,45.644,3.079,1.709,50.733,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
