run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,10.858,0.3571,28.6,67.3,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.009,8.545,1.533,0.763,1205.1,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,True,006201.png,,,,13.617024,15.745833,17.874641,13.066,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
1,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,10.512,0.419,38.5,68.3,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.012,8.61,1.17,0.716,10.621,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,18,True,007377.png,,,,0.135949,0.160022,0.184095,15.066,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
2,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,9.634,0.419,38.5,68.3,,0.0,0.17260265350341797,60.0,1485.0,nvml,3.853,7.728,1.119,0.776,13.594,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,44,False,006587.png,,,,0.173999,0.20481,0.235621,15.066,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
3,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,9.176,0.419,38.5,68.3,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.082,7.459,1.028,0.679,9.34,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,12,False,006905.png,,,,0.119545,0.140713,0.161882,15.066,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
4,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,9.061,0.419,38.5,68.3,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.082,7.381,1.016,0.655,9.229,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,5,False,007244.png,,,,0.118123,0.13904,0.159956,15.066,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
5,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,9.344,0.419,38.5,68.3,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.093,7.454,1.114,0.766,9.518,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,35,False,007031.png,,,,0.121823,0.143395,0.164967,15.066,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
6,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,9.241,0.3983,35.0,68.4,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.099,7.523,1.035,0.673,9.423,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,9,False,006369.png,,,,0.115674,0.135387,0.155099,14.368,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
7,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,9.215,0.3983,35.0,68.4,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.085,7.537,1.008,0.661,9.383,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,0,False,006254.png,,,,0.115186,0.134815,0.154444,14.368,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
8,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,9.71,0.3983,35.0,68.4,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.08,7.85,1.041,0.809,9.866,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,42,False,006781.png,,,,0.121111,0.14175,0.162389,14.368,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
9,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,11.129,0.3983,35.0,68.4,,0.0,0.17260265350341797,60.0,1485.0,nvml,0.108,8.815,1.431,0.872,11.324,onnx_cuda,CUDAExecutionProvider;CPUExecutionProvider,{},False,11,False,006840.png,,,,0.139013,0.162703,0.186393,14.368,"Windows RTX 3050 Ti Laptop GPU — High performance, plugged in","NVIDIA nvidia-smi 67 W GPU cap; previous approved Intel CPU telemetry assumptions; High performance, plugged in; approved 2026-08-21",False
