run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
83,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,36.257,0.4315,44.0,65.7,,0.0,0.03271484375,58.0,210.0,nvml,0.004,34.101,1.243,0.896,36.391,onnx,CPUExecutionProvider,{},False,21,True,006100.png,,,,0.421609,0.513624,0.605639,14.114,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
84,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,40.797,0.4189,41.9,65.7,,0.0,0.03271484375,58.0,210.0,nvml,0.005,37.759,2.13,0.883,40.949,onnx,CPUExecutionProvider,{},False,23,False,007454.png,,,,0.461517,0.560757,0.659997,13.694,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
85,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,33.218,0.4189,41.9,65.7,,0.0,0.03271484375,58.0,210.0,nvml,0.019,30.973,1.43,0.795,33.39,onnx,CPUExecutionProvider,{},False,3,False,006577.png,,,,0.376321,0.457241,0.538162,13.694,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
86,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,39.916,0.4252,42.9,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.004,37.74,1.294,0.864,40.063,onnx,CPUExecutionProvider,{},False,2,False,006570.png,,,,0.457595,0.55671,0.655825,13.896,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
87,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,35.009,0.4252,42.9,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.005,32.135,1.779,1.074,35.148,onnx,CPUExecutionProvider,{},False,6,False,006834.png,,,,0.40146,0.488417,0.575373,13.896,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
88,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,37.203,0.4234,42.6,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.006,35.132,1.167,0.882,37.333,onnx,CPUExecutionProvider,{},False,22,False,006487.png,,,,0.424741,0.516544,0.608346,13.836,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
89,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,39.235,0.4234,42.6,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.008,37.061,1.304,0.852,39.397,onnx,CPUExecutionProvider,{},False,20,False,006374.png,,,,0.448221,0.545098,0.641976,13.836,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
90,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,36.258,0.3796,35.3,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.011,33.705,1.501,1.029,36.44,onnx,CPUExecutionProvider,{},False,0,False,007086.png,,,,0.374677,0.450983,0.527288,12.376,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
91,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,34.315,0.3796,35.3,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.004,32.403,1.106,0.79,34.438,onnx,CPUExecutionProvider,{},False,24,False,007467.png,,,,0.354089,0.426202,0.498315,12.376,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
92,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,40.127,0.3796,35.3,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.004,37.918,1.111,1.08,40.275,onnx,CPUExecutionProvider,{},False,23,False,006232.png,,,,0.414111,0.498447,0.582784,12.376,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
93,5,threshold,idle,0.0,process_steady_v3,0,,SMALL,35.644,0.418,41.7,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.005,33.646,1.188,0.792,35.771,onnx,CPUExecutionProvider,{},False,24,False,007267.png,,,,0.40214,0.488492,0.574843,13.656,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
