run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,burst,0.85,process_isolated_burst_v2,15,0,SMALL,57.911,0.7013,88.8,66.1,,0.0,0.03271484375,61.0,210.0,nvml,0.013,54.65,2.136,1.098,1990.523,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,burst,0.85,process_isolated_burst_v2,15,1,SMALL,52.05,0.7156,90.6,67.5,,0.0,0.03271484375,61.0,210.0,nvml,0.013,49.375,1.568,1.086,52.232,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,burst,0.85,process_isolated_burst_v2,15,2,SMALL,42.601,0.751,96.5,67.5,,0.0,0.03271484375,61.0,210.0,nvml,0.005,39.552,1.694,1.336,42.787,onnx,CPUExecutionProvider,{},False,44,False,006587.png,,,,,,,,,,False
3,0,threshold,burst,0.85,process_isolated_burst_v2,15,3,SMALL,38.053,0.751,96.5,67.5,,0.0,0.03271484375,61.0,210.0,nvml,0.01,35.437,1.509,1.081,38.25,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,threshold,burst,0.85,process_isolated_burst_v2,15,4,SMALL,38.352,0.7609,98.1,67.6,,0.0,0.03271484375,61.0,210.0,nvml,0.009,35.647,1.657,1.03,38.535,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,predictive,burst,0.85,process_isolated_burst_v2,15,0,NANO,16.704,0.7664,99.1,67.4,,0.0,0.03271484375,61.0,210.0,nvml,0.199,14.836,1.163,0.681,17.007,onnx,CPUExecutionProvider,{},False,3,True,006201.png,,,,,,,,,,False
1,0,predictive,burst,0.85,process_isolated_burst_v2,15,1,NANO,14.414,0.7294,92.9,67.5,,0.0,0.03271484375,61.0,210.0,nvml,0.018,12.71,1.011,0.666,14.543,onnx,CPUExecutionProvider,{},False,10,False,007377.png,,,,,,,,,,False
2,0,predictive,burst,0.85,process_isolated_burst_v2,15,2,NANO,14.236,0.7294,92.9,67.5,,0.0,0.03271484375,61.0,210.0,nvml,0.009,12.368,1.107,0.743,14.377,onnx,CPUExecutionProvider,{},False,24,False,006587.png,,,,,,,,,,False
3,0,predictive,burst,0.85,process_isolated_burst_v2,15,3,NANO,10.626,0.7294,92.9,67.5,,0.0,0.03271484375,61.0,210.0,nvml,0.007,8.97,1.116,0.521,10.74,onnx,CPUExecutionProvider,{},False,5,False,006905.png,,,,,,,,,,False
4,0,predictive,burst,0.85,process_isolated_burst_v2,15,4,NANO,11.908,0.7294,92.9,67.5,,0.0,0.03271484375,61.0,210.0,nvml,0.008,10.282,1.139,0.447,12.033,onnx,CPUExecutionProvider,{},False,4,False,007244.png,,,,,,,,,,False
