run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,33.056,0.3815,36.2,64.4,,0.0,0.03271484375,57.0,210.0,nvml,0.007,30.855,1.373,0.811,1216.481,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,12.646542,15.24008,17.833619,12.528,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
1,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,43.316,0.363,32.7,65.4,,0.0,0.03271484375,57.0,210.0,nvml,0.012,41.47,1.123,0.702,43.457,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,0.429617,0.51488,0.600143,11.848,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
2,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,31.474,0.4862,53.2,65.5,,0.0,0.03271484375,57.0,210.0,nvml,3.981,29.473,1.119,0.865,35.56,onnx,CPUExecutionProvider,{},False,44,False,006587.png,,,,0.460948,0.567184,0.673419,15.95,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
3,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,36.7,0.4862,53.2,65.5,,0.0,0.03271484375,57.0,210.0,nvml,0.133,34.547,1.431,0.707,36.944,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,0.478885,0.589255,0.699625,15.95,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
4,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,30.924,0.4862,53.2,65.5,,0.0,0.03271484375,57.0,210.0,nvml,0.108,29.12,1.127,0.662,31.156,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,0.403862,0.496941,0.590021,15.95,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
5,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,32.262,0.4949,54.6,65.6,,0.0,0.03271484375,57.0,210.0,nvml,0.096,30.31,1.058,0.881,32.463,onnx,CPUExecutionProvider,{},False,35,False,007031.png,,,,0.427673,0.526946,0.626219,16.232,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
6,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,31.431,0.4949,54.6,65.6,,0.0,0.03271484375,57.0,210.0,nvml,0.11,29.233,1.095,1.089,31.651,onnx,CPUExecutionProvider,{},False,9,False,006369.png,,,,0.416976,0.513766,0.610556,16.232,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
7,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,31.394,0.4943,54.5,65.6,,0.0,0.03271484375,57.0,210.0,nvml,0.095,29.576,1.093,0.713,31.591,onnx,CPUExecutionProvider,{},False,0,False,006254.png,,,,0.415705,0.512152,0.608599,16.212,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
8,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,33.093,0.4943,54.5,65.6,,0.0,0.03271484375,57.0,210.0,nvml,0.146,30.717,1.521,0.839,33.34,onnx,CPUExecutionProvider,{},False,42,False,006781.png,,,,0.438718,0.540505,0.642291,16.212,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
9,0,adaptive,light,0.25,process_steady_v3,15,,SMALL,31.37,0.4943,54.5,65.6,,0.0,0.03271484375,57.0,210.0,nvml,0.111,29.194,1.117,1.046,31.643,onnx,CPUExecutionProvider,{},False,11,False,006840.png,,,,0.416386,0.512991,0.609597,16.212,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
