run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
11,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.281,0.7547,98.2,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.138,12.615,1.052,0.596,14.558,onnx,CPUExecutionProvider,{},False,19,True,007420.png,,,,0.286844,0.363047,0.407624,24.938,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
12,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.969,0.7601,99.1,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.142,12.368,0.91,0.67,14.233,onnx,CPUExecutionProvider,{},False,34,False,007182.png,,,,0.282357,0.357499,0.398518,25.118,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
13,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.086,0.7601,99.1,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.232,10.358,1.245,0.459,12.677,onnx,CPUExecutionProvider,{},False,0,False,007443.png,,,,0.251491,0.318418,0.354953,25.118,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
14,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.238,0.7601,99.1,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.125,11.894,0.893,0.435,13.484,onnx,CPUExecutionProvider,{},False,0,False,006164.png,,,,0.26751,0.338701,0.377563,25.118,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
15,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.011,0.7601,99.1,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.229,12.431,1.096,0.463,14.459,onnx,CPUExecutionProvider,{},False,7,False,007087.png,,,,0.286849,0.363186,0.404858,25.118,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
16,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.52,0.7583,98.8,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.144,12.012,1.043,0.445,13.785,onnx,CPUExecutionProvider,{},False,11,False,006681.png,,,,0.272847,0.345417,0.385972,25.058,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
17,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.531,0.7583,98.8,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.116,11.78,1.158,0.576,13.772,onnx,CPUExecutionProvider,{},False,16,False,006319.png,,,,0.272592,0.345094,0.38561,25.058,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
18,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.449,0.7583,98.8,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.119,12.066,0.894,0.469,13.681,onnx,CPUExecutionProvider,{},False,9,False,007392.png,,,,0.270803,0.342829,0.383079,25.058,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
19,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.897,0.7583,98.8,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.119,12.439,0.955,0.483,14.13,onnx,CPUExecutionProvider,{},False,0,False,006148.png,,,,0.279682,0.35407,0.39564,25.058,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
20,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.38,0.7601,99.1,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.117,11.127,0.858,0.376,12.624,onnx,CPUExecutionProvider,{},False,0,False,006447.png,,,,0.250439,0.317087,0.353469,25.118,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
21,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.949,0.7601,99.1,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.133,12.339,1.084,0.504,14.201,onnx,CPUExecutionProvider,{},False,13,True,006857.png,,,,0.281734,0.356711,0.397639,25.118,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
22,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.115,0.7601,99.1,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.143,9.271,1.049,0.775,11.396,onnx,CPUExecutionProvider,{},False,31,False,006127.png,,,,0.226085,0.286252,0.319096,25.118,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
23,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,9.612,0.7601,99.1,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.09,8.422,0.768,0.409,9.811,onnx,CPUExecutionProvider,{},False,1,False,006831.png,,,,0.194632,0.246428,0.274702,25.118,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
24,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,16.937,0.7601,99.1,64.9,,0.0,0.03271484375,51.0,210.0,nvml,0.124,15.527,0.979,0.416,17.194,onnx,CPUExecutionProvider,{},False,0,False,006461.png,,,,0.341097,0.431871,0.481424,25.118,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
25,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.138,0.7556,98.3,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.116,11.754,0.988,0.382,13.357,onnx,CPUExecutionProvider,{},False,0,False,007415.png,,,,0.263396,0.333386,0.37399,24.96,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
26,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.767,0.7556,98.3,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.128,12.5,0.738,0.515,14.003,onnx,CPUExecutionProvider,{},False,4,False,006154.png,,,,0.276145,0.349522,0.392092,24.96,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
27,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.101,0.7556,98.3,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.121,11.651,0.993,0.442,13.341,onnx,CPUExecutionProvider,{},False,1,False,007336.png,,,,0.263079,0.332984,0.37354,24.96,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
28,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.67,0.7556,98.3,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.09,11.488,0.783,0.385,12.877,onnx,CPUExecutionProvider,{},False,0,False,006621.png,,,,0.253932,0.321407,0.360553,24.96,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
29,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.284,0.752,97.7,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.144,11.703,0.997,0.568,13.55,onnx,CPUExecutionProvider,{},False,18,True,006478.png,,,,0.265992,0.336589,0.379408,24.84,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
30,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.952,0.752,97.7,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.136,11.48,0.971,0.487,13.185,onnx,CPUExecutionProvider,{},False,13,False,006352.png,,,,0.258825,0.32752,0.369186,24.84,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
31,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.95,0.752,97.7,65.0,,0.0,0.03271484375,52.0,210.0,nvml,0.147,12.368,0.93,0.631,14.21,onnx,CPUExecutionProvider,{},False,12,False,007230.png,,,,0.278936,0.352969,0.397872,24.84,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
