status,simulated,backend,dataset,tier,imgsz,n_images,map50,map50_95,vru_recall,person_recall,cyclist_recall,legacy_vru_recall,elapsed_s
passed,False,onnx,kitti,NANO,320,1500,0.15921434138970947,0.0783470103341931,0.2294407894736842,0.30260303687635576,0.0,0.2519280205655527,72.869582995
passed,False,onnx,kitti,SMALL,416,1500,0.24001252730970832,0.12358960803664959,0.3626644736842105,0.4718004338394794,0.02040816326530612,0.4267352185089974,216.134789333
passed,False,onnx,kitti,MEDIUM,640,1500,0.3544926242224952,0.19111878798190104,0.49835526315789475,0.6475054229934925,0.030612244897959183,0.6049700085689803,1099.010063261
passed,False,onnx,coco,NANO,320,5000,0.3145291764554593,0.22916608936660993,0.5022089982868992,0.5097893662429247,0.24203821656050956,0.5009600279280851,195.841031035
passed,False,onnx,coco,SMALL,416,5000,0.46515487891975515,0.3481616248007912,0.6514290866468307,0.6590888002226964,0.3885350318471338,0.6510734857741316,681.045311067
passed,False,onnx,coco,MEDIUM,640,5000,0.5805765629846456,0.4456678936673156,0.772067442070147,0.7773035167486313,0.5923566878980892,0.7713388025833479,3607.027901628
passed,False,tensorrt,kitti,NANO,320,1500,0.15904958851588424,0.07853484804721408,0.23026315789473684,0.3036876355748373,0.0,0.2536418166238218,34.982827579
passed,False,tensorrt,kitti,SMALL,416,1500,0.2400781960927485,0.12397096302172787,0.3626644736842105,0.4718004338394794,0.02040816326530612,0.4258783204798629,37.97592816
passed,False,tensorrt,kitti,MEDIUM,640,1500,0.35498770998879314,0.1912150033645056,0.49917763157894735,0.648590021691974,0.030612244897959183,0.6058269065981148,48.343291718
passed,False,tensorrt,coco,NANO,320,5000,0.3140901095859273,0.228906199655266,0.5022089982868992,0.5097893662429247,0.24203821656050956,0.5009600279280851,67.12005359
passed,False,tensorrt,coco,SMALL,416,5000,0.46552749124627557,0.34830340269916304,0.6509782706699125,0.6586248492159228,0.3885350318471338,0.6505498341769942,78.435705081
passed,False,tensorrt,coco,MEDIUM,640,5000,0.5806453729347764,0.4456352703168033,0.7722477684609143,0.7775818873526955,0.589171974522293,0.771513353115727,102.115870395
