status,simulated,backend,dataset,tier,image,n_gt,n_predictions,tp50,vru_tp,vru_gt,person_tp,person_gt,cyclist_tp,cyclist_gt
passed,False,tensorrt,kitti,MEDIUM,006352.png,2,4,1,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006353.png,2,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006354.png,1,4,1,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006355.png,3,3,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006356.png,8,14,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006357.png,2,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006358.png,4,4,3,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006359.png,1,1,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006360.png,3,5,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006361.png,11,10,6,0,1,0,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006362.png,8,8,5,3,3,3,3,0,0
passed,False,tensorrt,kitti,MEDIUM,006363.png,5,10,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006364.png,2,2,1,0,1,0,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006365.png,12,10,7,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006366.png,9,14,7,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006367.png,4,5,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006368.png,9,10,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006369.png,5,5,4,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006370.png,6,8,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006371.png,8,9,6,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006372.png,7,8,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006373.png,2,3,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006374.png,2,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006375.png,1,2,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006376.png,16,12,10,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006377.png,2,4,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006378.png,5,5,2,0,3,0,0,0,3
passed,False,tensorrt,kitti,MEDIUM,006379.png,13,15,9,0,0,0,0,0,0
