run_idx,device,backend,policy,load_profile,load_intensity,tier,latency_ms,wall_ms,pressure,cpu_pct,mem_pct,cpu_temp,n_detections,vru_detected,frame,simulated
0,spectre-i7-1165g7,onnx,threshold,idle,0.0,SMALL,48.339,49.523,0.2163,13.8,45.1,,29,False,005981.png,False
1,spectre-i7-1165g7,onnx,threshold,idle,0.0,SMALL,63.923,65.744,0.316,27.1,45.1,,41,False,005982.png,False
2,spectre-i7-1165g7,onnx,threshold,idle,0.0,MEDIUM,325.899,328.883,0.5082,52.7,45.2,,111,False,005983.png,False
3,spectre-i7-1165g7,onnx,threshold,idle,0.0,MEDIUM,391.685,393.965,0.4745,48.0,45.8,,25,True,005984.png,False
4,spectre-i7-1165g7,onnx,threshold,idle,0.0,MEDIUM,403.607,406.211,0.624,67.9,45.9,,41,True,005985.png,False
5,spectre-i7-1165g7,onnx,threshold,idle,0.0,MEDIUM,434.708,437.538,0.4965,50.9,45.9,,41,False,005986.png,False
6,spectre-i7-1165g7,onnx,threshold,idle,0.0,MEDIUM,442.461,445.301,0.5235,54.5,45.9,,49,False,005987.png,False
7,spectre-i7-1165g7,onnx,threshold,idle,0.0,MEDIUM,428.036,430.586,0.5168,53.6,45.9,,128,True,005988.png,False
8,spectre-i7-1165g7,onnx,threshold,idle,0.0,SMALL,78.955,80.747,0.5363,56.2,45.9,,0,False,005989.png,False
9,spectre-i7-1165g7,onnx,threshold,idle,0.0,SMALL,84.539,86.528,0.7553,85.4,45.9,,11,False,005990.png,False
10,spectre-i7-1165g7,onnx,threshold,idle,0.0,SMALL,80.006,81.182,0.8122,93.0,45.9,,2,False,005991.png,False
11,spectre-i7-1165g7,onnx,threshold,idle,0.0,SMALL,84.699,85.954,0.8122,93.0,45.9,,30,False,005992.png,False
12,spectre-i7-1165g7,onnx,threshold,idle,0.0,NANO,29.631,31.545,0.766,86.8,46.0,,0,False,005993.png,False
13,spectre-i7-1165g7,onnx,threshold,idle,0.0,NANO,32.06,32.847,0.764,86.5,46.1,,13,True,005994.png,False
