run_idx,device,backend,policy,load_profile,load_intensity,tier,latency_ms,wall_ms,pressure,cpu_pct,mem_pct,cpu_temp,n_detections,vru_detected,frame,simulated
46,windows-host,onnx,threshold,idle,0.0,NANO,28.103,28.824,0.875,100.0,50.0,,10,False,006027.png,False
47,windows-host,onnx,threshold,idle,0.0,NANO,25.971,26.829,0.875,100.0,50.0,,0,False,006028.png,False
48,windows-host,onnx,threshold,idle,0.0,NANO,27.535,28.253,0.875,100.0,50.0,,0,False,006029.png,False
49,windows-host,onnx,threshold,idle,0.0,NANO,24.848,25.708,0.875,100.0,50.0,,0,False,006030.png,False
50,windows-host,onnx,threshold,idle,0.0,NANO,36.398,37.515,0.875,100.0,50.0,,0,False,006031.png,False
51,windows-host,onnx,threshold,idle,0.0,NANO,27.011,27.961,0.8752,100.0,50.1,,24,False,006032.png,False
52,windows-host,onnx,threshold,idle,0.0,NANO,24.814,26.025,0.8752,100.0,50.1,,13,True,006033.png,False
53,windows-host,onnx,threshold,idle,0.0,NANO,46.497,47.299,0.8752,100.0,50.1,,41,False,006034.png,False
54,windows-host,onnx,threshold,idle,0.0,NANO,103.01,106.643,0.8752,100.0,50.1,,0,False,006035.png,False
55,windows-host,onnx,threshold,idle,0.0,NANO,40.356,41.869,0.875,100.0,50.0,,9,False,006036.png,False
56,windows-host,onnx,threshold,idle,0.0,NANO,33.774,34.618,0.875,100.0,50.0,,3,False,006037.png,False
57,windows-host,onnx,threshold,idle,0.0,NANO,26.379,27.087,0.875,100.0,50.0,,0,False,006038.png,False
58,windows-host,onnx,threshold,idle,0.0,NANO,28.059,30.45,0.8752,100.0,50.1,,30,False,006039.png,False
59,windows-host,onnx,threshold,idle,0.0,NANO,39.531,40.451,0.8752,100.0,50.1,,21,True,006040.png,False
60,windows-host,onnx,threshold,idle,0.0,NANO,42.025,42.861,0.875,100.0,50.0,,17,False,006041.png,False
61,windows-host,onnx,threshold,idle,0.0,NANO,42.199,45.163,0.875,100.0,50.0,,1,True,006042.png,False
62,windows-host,onnx,threshold,idle,0.0,NANO,32.792,33.596,0.875,100.0,50.0,,5,False,006043.png,False
63,windows-host,onnx,threshold,idle,0.0,NANO,30.171,31.054,0.875,100.0,50.0,,6,False,006044.png,False
64,windows-host,onnx,threshold,idle,0.0,NANO,26.284,27.117,0.875,100.0,50.0,,9,False,006045.png,False
65,windows-host,onnx,threshold,idle,0.0,NANO,27.579,28.524,0.875,100.0,50.0,,9,False,006046.png,False
66,windows-host,onnx,threshold,idle,0.0,NANO,23.7,24.356,0.875,100.0,50.0,,10,False,006047.png,False
67,windows-host,onnx,threshold,idle,0.0,NANO,28.796,29.618,0.875,100.0,50.0,,10,False,006048.png,False
68,windows-host,onnx,threshold,idle,0.0,NANO,29.533,30.352,0.875,100.0,50.0,,4,False,006049.png,False
69,windows-host,onnx,threshold,idle,0.0,NANO,26.598,27.331,0.875,100.0,50.0,,29,False,006050.png,False
70,windows-host,onnx,threshold,idle,0.0,NANO,32.664,33.531,0.875,100.0,50.0,,0,False,006051.png,False
71,windows-host,onnx,threshold,idle,0.0,NANO,31.269,32.205,0.875,100.0,50.0,,25,False,006052.png,False
72,windows-host,onnx,threshold,idle,0.0,NANO,27.858,28.851,0.875,100.0,50.0,,0,False,006053.png,False
73,windows-host,onnx,threshold,idle,0.0,NANO,28.132,29.039,0.875,100.0,50.0,,23,False,006054.png,False
74,windows-host,onnx,threshold,idle,0.0,NANO,45.448,46.325,0.875,100.0,50.0,,25,True,006055.png,False
75,windows-host,onnx,threshold,idle,0.0,NANO,69.901,70.747,0.875,100.0,50.0,,18,False,006056.png,False
76,windows-host,onnx,threshold,idle,0.0,NANO,85.957,88.84,0.875,100.0,50.0,,4,False,006057.png,False
77,windows-host,onnx,threshold,idle,0.0,NANO,31.587,32.655,0.875,100.0,50.0,,1,False,006058.png,False
78,windows-host,onnx,threshold,idle,0.0,NANO,20.759,21.59,0.875,100.0,50.0,,2,True,006059.png,False
79,windows-host,onnx,threshold,idle,0.0,NANO,34.492,35.639,0.875,100.0,50.0,,28,False,006060.png,False
80,windows-host,onnx,threshold,idle,0.0,NANO,35.017,35.667,0.8412,96.0,48.5,,0,False,006061.png,False
81,windows-host,onnx,threshold,idle,0.0,NANO,63.618,64.42,0.8412,96.0,48.5,,10,False,006062.png,False
82,windows-host,onnx,threshold,idle,0.0,NANO,82.694,83.42,0.8712,100.0,48.5,,19,False,006063.png,False
83,windows-host,onnx,threshold,idle,0.0,NANO,20.578,21.296,0.8715,100.0,48.6,,10,False,006064.png,False
84,windows-host,onnx,threshold,idle,0.0,NANO,21.641,22.291,0.8718,100.0,48.7,,0,False,006065.png,False
85,windows-host,onnx,threshold,idle,0.0,NANO,32.27,33.209,0.8718,100.0,48.7,,20,False,006066.png,False
86,windows-host,onnx,threshold,idle,0.0,NANO,31.699,32.473,0.8722,100.0,48.9,,0,False,006067.png,False
87,windows-host,onnx,threshold,idle,0.0,NANO,36.88,39.208,0.8722,100.0,48.9,,20,False,006068.png,False
88,windows-host,onnx,threshold,idle,0.0,NANO,49.74,50.355,0.8725,100.0,49.0,,0,False,006069.png,False
89,windows-host,onnx,threshold,idle,0.0,NANO,29.227,29.921,0.8725,100.0,49.0,,0,False,006070.png,False
90,windows-host,onnx,threshold,idle,0.0,NANO,20.105,20.755,0.8738,100.0,49.5,,1,False,006071.png,False
91,windows-host,onnx,threshold,idle,0.0,NANO,20.193,20.805,0.8738,100.0,49.5,,0,False,006072.png,False
92,windows-host,onnx,threshold,idle,0.0,NANO,16.925,17.711,0.7893,88.7,49.6,,4,True,006073.png,False
93,windows-host,onnx,threshold,idle,0.0,NANO,20.334,20.873,0.7893,88.7,49.6,,0,False,006074.png,False
94,windows-host,onnx,threshold,idle,0.0,NANO,20.201,21.019,0.7893,88.7,49.6,,8,False,006075.png,False
95,windows-host,onnx,threshold,idle,0.0,NANO,24.063,24.889,0.7653,85.4,49.9,,12,False,006076.png,False
96,windows-host,onnx,threshold,idle,0.0,NANO,22.335,23.475,0.7653,85.4,49.9,,62,False,006077.png,False
97,windows-host,onnx,threshold,idle,0.0,NANO,25.114,25.93,0.7653,85.4,49.9,,24,False,006078.png,False
98,windows-host,onnx,threshold,idle,0.0,NANO,112.285,113.399,0.8337,94.6,49.7,,2,True,006079.png,False
99,windows-host,onnx,threshold,idle,0.0,NANO,65.894,66.771,0.8758,100.0,50.3,,2,True,006080.png,False
0,windows-host,onnx,threshold,light,0.25,SMALL,219.129,223.418,0.8742,100.0,49.7,,14,True,005981.png,False
1,windows-host,onnx,threshold,light,0.25,SMALL,106.08,108.975,0.8742,100.0,49.7,,23,False,005982.png,False
2,windows-host,onnx,threshold,light,0.25,NANO,63.372,66.381,0.8742,100.0,49.7,,17,False,005983.png,False
3,windows-host,onnx,threshold,light,0.25,NANO,32.052,33.123,0.8742,100.0,49.7,,0,False,005984.png,False
4,windows-host,onnx,threshold,light,0.25,NANO,25.126,25.932,0.8742,100.0,49.7,,0,False,005985.png,False
5,windows-host,onnx,threshold,light,0.25,NANO,32.184,32.888,0.8742,100.0,49.7,,8,False,005986.png,False
6,windows-host,onnx,threshold,light,0.25,NANO,25.601,26.405,0.8745,100.0,49.8,,10,False,005987.png,False
7,windows-host,onnx,threshold,light,0.25,NANO,28.988,29.932,0.8745,100.0,49.8,,0,False,005988.png,False
8,windows-host,onnx,threshold,light,0.25,NANO,32.765,33.669,0.8745,100.0,49.8,,0,False,005989.png,False
9,windows-host,onnx,threshold,light,0.25,NANO,30.666,31.43,0.8745,100.0,49.8,,2,False,005990.png,False
10,windows-host,onnx,threshold,light,0.25,NANO,45.087,45.81,0.8745,100.0,49.8,,0,False,005991.png,False
11,windows-host,onnx,threshold,light,0.25,NANO,58.989,59.914,0.8745,100.0,49.8,,13,True,005992.png,False
12,windows-host,onnx,threshold,light,0.25,NANO,32.57,33.409,0.8738,100.0,49.5,,0,False,005993.png,False
13,windows-host,onnx,threshold,light,0.25,NANO,26.168,27.332,0.8738,100.0,49.5,,8,False,005994.png,False
14,windows-host,onnx,threshold,light,0.25,NANO,56.0,56.719,0.8738,100.0,49.5,,2,True,005995.png,False
15,windows-host,onnx,threshold,light,0.25,NANO,109.884,110.992,0.8738,100.0,49.5,,40,False,005996.png,False
16,windows-host,onnx,threshold,light,0.25,NANO,47.51,50.179,0.8738,100.0,49.5,,1,True,005997.png,False
17,windows-host,onnx,threshold,light,0.25,NANO,40.516,41.174,0.8738,100.0,49.5,,3,False,005998.png,False
18,windows-host,onnx,threshold,light,0.25,NANO,36.291,37.217,0.8738,100.0,49.5,,16,False,005999.png,False
19,windows-host,onnx,threshold,light,0.25,NANO,25.56,26.478,0.8738,100.0,49.5,,0,False,006000.png,False
20,windows-host,onnx,threshold,light,0.25,NANO,29.038,30.088,0.8738,100.0,49.5,,0,False,006001.png,False
21,windows-host,onnx,threshold,light,0.25,NANO,25.967,26.689,0.874,100.0,49.6,,0,False,006002.png,False
