run_idx,device,backend,policy,load_profile,load_intensity,tier,latency_ms,wall_ms,pressure,cpu_pct,mem_pct,cpu_temp,n_detections,vru_detected,frame,simulated
0,windows-host,onnx,threshold,idle,0.0,SMALL,79.03,80.805,0.319,27.1,46.3,,14,True,005981.png,False
1,windows-host,onnx,threshold,idle,0.0,SMALL,45.551,47.477,0.4845,49.1,46.5,,23,False,005982.png,False
2,windows-host,onnx,threshold,idle,0.0,SMALL,62.89,63.951,0.4845,49.1,46.5,,46,False,005983.png,False
3,windows-host,onnx,threshold,idle,0.0,SMALL,51.592,52.615,0.4988,51.0,46.5,,0,False,005984.png,False
4,windows-host,onnx,threshold,idle,0.0,SMALL,43.555,44.715,0.5528,58.2,46.5,,14,True,005985.png,False
5,windows-host,onnx,threshold,idle,0.0,SMALL,56.894,57.92,0.5528,58.2,46.5,,12,False,005986.png,False
6,windows-host,onnx,threshold,idle,0.0,SMALL,72.245,74.003,0.4763,48.0,46.5,,10,False,005987.png,False
7,windows-host,onnx,threshold,idle,0.0,SMALL,67.101,68.813,0.5378,56.2,46.5,,14,True,005988.png,False
8,windows-host,onnx,threshold,idle,0.0,SMALL,55.427,57.139,0.6022,64.8,46.5,,2,False,005989.png,False
9,windows-host,onnx,threshold,idle,0.0,SMALL,73.67,75.441,0.6022,64.8,46.5,,0,False,005990.png,False
10,windows-host,onnx,threshold,idle,0.0,NANO,32.997,34.127,0.5515,58.0,46.6,,0,False,005991.png,False
11,windows-host,onnx,threshold,idle,0.0,NANO,19.165,19.815,0.7372,82.8,46.5,,13,True,005992.png,False
12,windows-host,onnx,threshold,idle,0.0,NANO,17.105,17.563,0.7372,82.8,46.5,,0,False,005993.png,False
13,windows-host,onnx,threshold,idle,0.0,NANO,15.422,15.949,0.7372,82.8,46.5,,8,False,005994.png,False
14,windows-host,onnx,threshold,idle,0.0,NANO,16.693,17.409,0.7462,84.0,46.5,,2,True,005995.png,False
15,windows-host,onnx,threshold,idle,0.0,NANO,11.05,11.672,0.7462,84.0,46.5,,40,False,005996.png,False
16,windows-host,onnx,threshold,idle,0.0,NANO,17.391,18.007,0.7462,84.0,46.5,,1,True,005997.png,False
17,windows-host,onnx,threshold,idle,0.0,NANO,16.108,16.579,0.7462,84.0,46.5,,3,False,005998.png,False
18,windows-host,onnx,threshold,idle,0.0,NANO,16.158,16.969,0.6168,66.7,46.6,,16,False,005999.png,False
19,windows-host,onnx,threshold,idle,0.0,NANO,16.32,17.085,0.6168,66.7,46.6,,0,False,006000.png,False
20,windows-host,onnx,threshold,idle,0.0,NANO,14.037,14.54,0.6168,66.7,46.6,,0,False,006001.png,False
21,windows-host,onnx,threshold,idle,0.0,NANO,20.356,20.857,0.679,75.0,46.6,,0,False,006002.png,False
22,windows-host,onnx,threshold,idle,0.0,NANO,19.502,20.22,0.679,75.0,46.6,,17,False,006003.png,False
23,windows-host,onnx,threshold,idle,0.0,NANO,18.531,19.244,0.679,75.0,46.6,,11,False,006004.png,False
24,windows-host,onnx,threshold,idle,0.0,NANO,18.396,19.211,0.7135,79.6,46.6,,25,False,006005.png,False
25,windows-host,onnx,threshold,idle,0.0,NANO,17.594,18.189,0.7135,79.6,46.6,,0,False,006006.png,False
26,windows-host,onnx,threshold,idle,0.0,NANO,16.51,17.152,0.7135,79.6,46.6,,7,False,006007.png,False
27,windows-host,onnx,threshold,idle,0.0,NANO,16.055,16.692,0.7135,79.6,46.6,,14,False,006008.png,False
28,windows-host,onnx,threshold,idle,0.0,NANO,24.503,25.253,0.5335,55.6,46.6,,10,False,006009.png,False
29,windows-host,onnx,threshold,idle,0.0,NANO,16.301,16.905,0.5335,55.6,46.6,,1,False,006010.png,False
30,windows-host,onnx,threshold,idle,0.0,SMALL,86.322,88.492,0.5335,55.6,46.6,,65,False,006011.png,False
31,windows-host,onnx,threshold,idle,0.0,SMALL,88.045,89.89,0.5575,58.8,46.6,,8,False,006012.png,False
32,windows-host,onnx,threshold,idle,0.0,SMALL,81.167,82.997,0.8352,95.8,46.7,,19,False,006013.png,False
33,windows-host,onnx,threshold,idle,0.0,NANO,17.424,18.241,0.7355,82.5,46.7,,19,False,006014.png,False
34,windows-host,onnx,threshold,idle,0.0,NANO,18.001,18.61,0.672,74.0,46.8,,5,False,006015.png,False
35,windows-host,onnx,threshold,idle,0.0,NANO,19.16,19.832,0.672,74.0,46.8,,14,False,006016.png,False
36,windows-host,onnx,threshold,idle,0.0,NANO,19.193,19.733,0.672,74.0,46.8,,3,False,006017.png,False
37,windows-host,onnx,threshold,idle,0.0,NANO,17.025,17.728,0.7695,87.0,46.8,,13,False,006018.png,False
38,windows-host,onnx,threshold,idle,0.0,NANO,18.874,19.645,0.7695,87.0,46.8,,0,False,006019.png,False
39,windows-host,onnx,threshold,idle,0.0,NANO,17.79,18.502,0.7695,87.0,46.8,,10,False,006020.png,False
40,windows-host,onnx,threshold,idle,0.0,NANO,19.426,20.315,0.648,70.8,46.8,,9,False,006021.png,False
41,windows-host,onnx,threshold,idle,0.0,NANO,23.146,24.086,0.648,70.8,46.8,,18,False,006022.png,False
42,windows-host,onnx,threshold,idle,0.0,NANO,20.7,21.483,0.648,70.8,46.8,,4,True,006023.png,False
43,windows-host,onnx,threshold,idle,0.0,NANO,20.442,21.302,0.7885,89.5,46.9,,10,False,006024.png,False
44,windows-host,onnx,threshold,idle,0.0,NANO,19.687,20.205,0.7885,89.5,46.9,,17,False,006025.png,False
45,windows-host,onnx,threshold,idle,0.0,NANO,16.909,17.525,0.7885,89.5,46.9,,16,False,006026.png,False
46,windows-host,onnx,threshold,idle,0.0,NANO,16.258,16.831,0.8215,93.9,46.9,,10,False,006027.png,False
47,windows-host,onnx,threshold,idle,0.0,NANO,19.838,20.618,0.8215,93.9,46.9,,0,False,006028.png,False
48,windows-host,onnx,threshold,idle,0.0,NANO,19.449,20.044,0.8215,93.9,46.9,,0,False,006029.png,False
49,windows-host,onnx,threshold,idle,0.0,NANO,28.324,28.942,0.7755,87.8,46.8,,0,False,006030.png,False
50,windows-host,onnx,threshold,idle,0.0,NANO,35.852,36.464,0.7755,87.8,46.8,,0,False,006031.png,False
51,windows-host,onnx,threshold,idle,0.0,NANO,20.21,21.117,0.8672,100.0,46.9,,24,False,006032.png,False
52,windows-host,onnx,threshold,idle,0.0,NANO,21.612,22.293,0.8672,100.0,46.9,,13,True,006033.png,False
53,windows-host,onnx,threshold,idle,0.0,NANO,19.47,20.448,0.8672,100.0,46.9,,41,False,006034.png,False
54,windows-host,onnx,threshold,idle,0.0,NANO,18.944,19.558,0.851,97.9,46.7,,0,False,006035.png,False
55,windows-host,onnx,threshold,idle,0.0,NANO,18.666,19.223,0.851,97.9,46.7,,9,False,006036.png,False
56,windows-host,onnx,threshold,idle,0.0,NANO,19.313,20.08,0.851,97.9,46.7,,3,False,006037.png,False
57,windows-host,onnx,threshold,idle,0.0,NANO,19.885,20.532,0.6792,75.0,46.7,,0,False,006038.png,False
58,windows-host,onnx,threshold,idle,0.0,NANO,18.854,19.556,0.6792,75.0,46.7,,30,False,006039.png,False
59,windows-host,onnx,threshold,idle,0.0,NANO,18.835,19.41,0.6792,75.0,46.7,,21,True,006040.png,False
60,windows-host,onnx,threshold,idle,0.0,NANO,19.194,20.067,0.617,66.7,46.7,,17,False,006041.png,False
61,windows-host,onnx,threshold,idle,0.0,NANO,20.157,20.809,0.617,66.7,46.7,,1,True,006042.png,False
62,windows-host,onnx,threshold,idle,0.0,NANO,20.373,21.064,0.617,66.7,46.7,,5,False,006043.png,False
63,windows-host,onnx,threshold,idle,0.0,NANO,18.259,19.013,0.6388,69.6,46.7,,6,False,006044.png,False
64,windows-host,onnx,threshold,idle,0.0,NANO,19.686,20.699,0.6388,69.6,46.7,,9,False,006045.png,False
65,windows-host,onnx,threshold,idle,0.0,NANO,19.624,20.335,0.6388,69.6,46.7,,9,False,006046.png,False
66,windows-host,onnx,threshold,idle,0.0,NANO,18.742,19.626,0.714,79.6,46.8,,10,False,006047.png,False
67,windows-host,onnx,threshold,idle,0.0,NANO,18.12,18.815,0.714,79.6,46.8,,10,False,006048.png,False
68,windows-host,onnx,threshold,idle,0.0,NANO,19.116,19.987,0.714,79.6,46.8,,4,False,006049.png,False
69,windows-host,onnx,threshold,idle,0.0,NANO,19.856,20.674,0.6015,64.6,46.8,,29,False,006050.png,False
70,windows-host,onnx,threshold,idle,0.0,NANO,19.575,20.267,0.6015,64.6,46.8,,0,False,006051.png,False
71,windows-host,onnx,threshold,idle,0.0,NANO,19.092,19.855,0.6015,64.6,46.8,,25,False,006052.png,False
72,windows-host,onnx,threshold,idle,0.0,NANO,19.14,19.807,0.7087,78.9,46.8,,0,False,006053.png,False
73,windows-host,onnx,threshold,idle,0.0,NANO,19.7,20.434,0.7087,78.9,46.8,,23,False,006054.png,False
74,windows-host,onnx,threshold,idle,0.0,NANO,19.208,19.968,0.7087,78.9,46.8,,25,True,006055.png,False
75,windows-host,onnx,threshold,idle,0.0,NANO,20.038,20.791,0.6795,75.0,46.8,,18,False,006056.png,False
76,windows-host,onnx,threshold,idle,0.0,NANO,17.324,18.224,0.6795,75.0,46.8,,4,False,006057.png,False
77,windows-host,onnx,threshold,idle,0.0,NANO,22.898,23.571,0.6795,75.0,46.8,,1,False,006058.png,False
78,windows-host,onnx,threshold,idle,0.0,NANO,21.11,21.799,0.72,80.4,46.8,,2,True,006059.png,False
79,windows-host,onnx,threshold,idle,0.0,NANO,17.589,18.391,0.72,80.4,46.8,,28,False,006060.png,False
80,windows-host,onnx,threshold,idle,0.0,NANO,23.724,24.367,0.72,80.4,46.8,,0,False,006061.png,False
81,windows-host,onnx,threshold,idle,0.0,NANO,18.737,19.458,0.8363,95.9,46.8,,10,False,006062.png,False
82,windows-host,onnx,threshold,idle,0.0,NANO,21.048,21.896,0.8363,95.9,46.8,,19,False,006063.png,False
83,windows-host,onnx,threshold,idle,0.0,NANO,20.339,21.031,0.8407,96.5,46.8,,10,False,006064.png,False
84,windows-host,onnx,threshold,idle,0.0,NANO,23.773,24.576,0.8407,96.5,46.8,,0,False,006065.png,False
85,windows-host,onnx,threshold,idle,0.0,NANO,21.108,21.865,0.8407,96.5,46.8,,20,False,006066.png,False
86,windows-host,onnx,threshold,idle,0.0,NANO,23.987,24.832,0.836,95.9,46.7,,0,False,006067.png,False
87,windows-host,onnx,threshold,idle,0.0,NANO,22.098,22.958,0.836,95.9,46.7,,20,False,006068.png,False
88,windows-host,onnx,threshold,idle,0.0,NANO,20.75,21.455,0.836,95.9,46.7,,0,False,006069.png,False
89,windows-host,onnx,threshold,idle,0.0,NANO,15.376,16.17,0.8217,94.0,46.7,,0,False,006070.png,False
90,windows-host,onnx,threshold,idle,0.0,NANO,20.08,20.766,0.8217,94.0,46.7,,1,False,006071.png,False
91,windows-host,onnx,threshold,idle,0.0,NANO,20.238,21.007,0.8217,94.0,46.7,,0,False,006072.png,False
92,windows-host,onnx,threshold,idle,0.0,NANO,18.883,19.646,0.6725,74.1,46.7,,4,True,006073.png,False
93,windows-host,onnx,threshold,idle,0.0,NANO,20.747,21.543,0.6725,74.1,46.7,,0,False,006074.png,False
94,windows-host,onnx,threshold,idle,0.0,NANO,17.389,18.076,0.7108,79.2,46.7,,8,False,006075.png,False
95,windows-host,onnx,threshold,idle,0.0,NANO,19.547,20.23,0.7108,79.2,46.7,,12,False,006076.png,False
96,windows-host,onnx,threshold,idle,0.0,NANO,18.166,18.858,0.7108,79.2,46.7,,62,False,006077.png,False
97,windows-host,onnx,threshold,idle,0.0,NANO,19.795,20.542,0.599,64.3,46.7,,24,False,006078.png,False
98,windows-host,onnx,threshold,idle,0.0,NANO,18.909,19.561,0.599,64.3,46.7,,2,True,006079.png,False
99,windows-host,onnx,threshold,idle,0.0,NANO,19.46,20.262,0.599,64.3,46.7,,2,True,006080.png,False
0,windows-host,onnx,threshold,light,0.25,SMALL,90.031,92.038,0.287,22.8,46.4,,14,True,005981.png,False
1,windows-host,onnx,threshold,light,0.25,SMALL,75.411,77.441,0.4447,43.8,46.5,,23,False,005982.png,False
2,windows-host,onnx,threshold,light,0.25,SMALL,87.186,89.247,0.8268,94.7,46.6,,46,False,005983.png,False
3,windows-host,onnx,threshold,light,0.25,SMALL,77.313,78.615,0.82,93.8,46.6,,0,False,005984.png,False
4,windows-host,onnx,threshold,light,0.25,NANO,30.632,33.518,0.8538,98.3,46.6,,0,False,005985.png,False
5,windows-host,onnx,threshold,light,0.25,NANO,19.655,20.542,0.8052,91.8,46.7,,8,False,005986.png,False
6,windows-host,onnx,threshold,light,0.25,NANO,17.609,18.183,0.8052,91.8,46.7,,10,False,005987.png,False
7,windows-host,onnx,threshold,light,0.25,NANO,21.081,21.673,0.8052,91.8,46.7,,0,False,005988.png,False
8,windows-host,onnx,threshold,light,0.25,NANO,17.254,17.868,0.8045,91.7,46.7,,0,False,005989.png,False
9,windows-host,onnx,threshold,light,0.25,NANO,18.767,19.359,0.8045,91.7,46.7,,2,False,005990.png,False
10,windows-host,onnx,threshold,light,0.25,NANO,18.65,19.328,0.8045,91.7,46.7,,0,False,005991.png,False
11,windows-host,onnx,threshold,light,0.25,NANO,19.158,19.851,0.817,93.4,46.6,,13,True,005992.png,False
12,windows-host,onnx,threshold,light,0.25,NANO,19.424,19.956,0.817,93.4,46.6,,0,False,005993.png,False
13,windows-host,onnx,threshold,light,0.25,NANO,15.886,16.399,0.817,93.4,46.6,,8,False,005994.png,False
14,windows-host,onnx,threshold,light,0.25,NANO,18.259,18.906,0.683,75.5,46.7,,2,True,005995.png,False
