label,group,latency_ms,pressure,tier,n_detections,vru_detected,switch_occurred,accuracy_proxy
0.0,safety,9.134321939200163,0.0549,MEDIUM,5,False,True,0.44516564791020286
0.0,safety,9.11332992836833,0.0789,MEDIUM,2,False,False,0.5074769191789105
0.0,safety,9.244819171726704,0.0718,MEDIUM,7,False,False,0.47813597619118603
0.0,safety,9.193329606205225,0.0172,MEDIUM,6,False,False,0.5111359757777411
0.0,safety,9.206738322973251,0.0368,MEDIUM,8,False,False,0.4709630938777496
0.0,safety,9.063217788934708,0.0547,MEDIUM,7,False,False,0.5129284687383291
0.0,safety,9.176849853247404,0.0445,MEDIUM,9,False,False,0.5200311789050154
0.0,safety,9.128625970333815,0.0897,MEDIUM,5,False,False,0.5172425453900554
0.0,safety,9.298514109104872,0.0916,MEDIUM,2,False,False,0.4702221596162083
0.0,safety,9.031025692820549,0.1044,MEDIUM,6,False,False,0.4915478427037522
0.0,safety,8.935441728681326,0.0685,MEDIUM,7,False,False,0.47835592988548237
0.0,safety,9.17297787964344,0.0637,MEDIUM,7,False,False,0.48763363074905686
0.0,safety,9.123249910771847,0.0964,MEDIUM,7,False,False,0.5129261315405739
0.0,safety,9.180914144963026,0.0836,MEDIUM,5,False,False,0.5164504128370988
0.0,safety,9.168306365609169,0.0941,MEDIUM,6,False,False,0.5323978451845539
0.0,safety,9.150609839707613,0.1168,MEDIUM,5,False,False,0.5006633436689392
0.0,safety,9.000753983855247,0.099,MEDIUM,8,False,False,0.5038562072794738
0.0,safety,9.195282123982906,0.0718,MEDIUM,4,False,False,0.5088393909740919
0.0,safety,9.177553933113813,0.0096,MEDIUM,8,True,False,0.4916434367067088
0.0,safety,9.232593700289726,0.1284,MEDIUM,3,False,False,0.5039243020609493
0.0,safety,9.091346058994532,0.0612,MEDIUM,7,False,False,0.540764244961273
0.0,safety,9.122610557824373,0.0417,MEDIUM,5,False,False,0.5056835017599562
0.0,safety,9.016338270157576,0.0953,MEDIUM,3,False,False,0.4558526620132319
0.0,safety,9.0354741550982,0.0866,MEDIUM,5,False,False,0.5347665638654284
0.0,safety,9.312083013355732,0.0622,MEDIUM,5,False,False,0.48231262869063896
0.0,safety,9.02264192700386,0.1339,MEDIUM,4,False,False,0.5325658576168046
0.0,safety,9.177010040730238,0.0755,MEDIUM,4,False,False,0.5053478651358879
0.0,safety,8.978450205177069,0.1024,MEDIUM,6,False,False,0.4990904311549965
0.0,safety,8.998034056276083,0.131,MEDIUM,7,True,False,0.5385051235435881
0.0,safety,9.11083398386836,0.0471,MEDIUM,4,False,False,0.5190377212081825
0.0,safety,9.21477098017931,0.0696,MEDIUM,6,False,False,0.5068400538719778
0.0,safety,9.142578113824129,0.0757,MEDIUM,4,False,False,0.48267215363110255
0.0,safety,9.177714120596647,0.0174,MEDIUM,4,False,False,0.4538118415201261
0.0,safety,9.176786057651043,0.0468,MEDIUM,7,True,False,0.513220658502847
0.0,safety,9.103250224143267,0.1194,MEDIUM,6,False,False,0.49111131285409126
0.0,safety,9.110033977776766,0.11,MEDIUM,8,True,False,0.5018332414113862
0.0,safety,9.233074262738228,0.0685,MEDIUM,7,False,False,0.5565747372569754
0.0,safety,9.042002260684967,0.0461,MEDIUM,8,False,False,0.5150092921601875
0.0,safety,9.210674557834864,0.107,MEDIUM,5,False,False,0.4888857453875304
0.0,safety,9.104594122618437,0.0291,MEDIUM,7,False,False,0.4906762179118092
0.0,safety,9.239025879651308,0.0452,MEDIUM,6,False,False,0.5267367767113681
0.0,safety,9.126099292188883,0.0801,MEDIUM,7,False,False,0.5211905101221509
0.0,safety,9.071506094187498,0.087,MEDIUM,1,False,False,0.5068818434022337
0.0,safety,9.14513785392046,0.1026,MEDIUM,5,False,False,0.5024375836929612
0.0,safety,9.315315168350935,0.0568,MEDIUM,2,False,False,0.5272782562962324
0.0,safety,9.260881692171097,0.1236,MEDIUM,1,False,False,0.5099345490254481
0.0,safety,9.27070714533329,0.0767,MEDIUM,4,False,False,0.5203732798173524
0.0,safety,9.136305656284094,0.0942,MEDIUM,4,False,False,0.5024783487762944
0.0,safety,9.138674940913916,0.0631,MEDIUM,5,False,False,0.5051069204310654
0.0,safety,9.163281880319118,0.0584,MEDIUM,5,False,False,0.5135390996324172
0.1,safety,9.195505641400814,0.1354,MEDIUM,6,False,True,0.48343457593006833
0.1,safety,9.130384773015976,0.1094,MEDIUM,7,False,False,0.4765396570827748
0.1,safety,9.054545313119888,0.1951,MEDIUM,2,False,False,0.4880896883933614
0.1,safety,9.161746129393578,0.1155,MEDIUM,6,False,False,0.5129541314269834
0.1,safety,9.12712188437581,0.1674,MEDIUM,7,False,False,0.49068042470088935
0.1,safety,9.237777907401323,0.1537,MEDIUM,9,False,False,0.5319883726718423
0.1,safety,9.163314010947943,0.0964,MEDIUM,6,False,False,0.4973081168670636
0.1,safety,8.974480908364058,0.1408,MEDIUM,5,False,False,0.5182669131140972
0.1,safety,9.325745981186628,0.1803,MEDIUM,7,False,False,0.5256016120481313
0.1,safety,9.213874116539955,0.1293,MEDIUM,5,False,False,0.4816751611258677
0.1,safety,9.133457206189632,0.1796,MEDIUM,7,True,False,0.5043433861394133
0.1,safety,9.13086486980319,0.1794,MEDIUM,5,False,False,0.47989602163806594
0.1,safety,9.139730129390955,0.1634,MEDIUM,7,False,False,0.5283348851875735
0.1,safety,9.178258012980223,0.158,MEDIUM,5,False,False,0.5140943825243027
0.1,safety,9.168369695544243,0.163,MEDIUM,4,False,False,0.4756574732866101
0.1,safety,9.176786057651043,0.1665,MEDIUM,5,False,False,0.5429494031848663
0.1,safety,9.05189011245966,0.1617,MEDIUM,5,True,False,0.48365088632258235
0.1,safety,9.115793276578188,0.1379,MEDIUM,5,False,False,0.5078901329628983
0.1,safety,9.248977992683649,0.1593,MEDIUM,7,False,False,0.4853614219870807
0.1,safety,9.221105370670557,0.2,MEDIUM,6,True,False,0.5142334310147941
0.1,safety,8.978897240012884,0.0794,MEDIUM,4,False,False,0.49250852960968
0.1,safety,9.059249889105558,0.1052,MEDIUM,10,True,False,0.47247673537407076
0.1,safety,9.225137997418642,0.1113,MEDIUM,6,False,False,0.48482746044119945
0.1,safety,9.270929731428623,0.1052,MEDIUM,5,True,False,0.47849787633908464
0.1,safety,9.158002212643623,0.1507,MEDIUM,6,False,False,0.4726118988651154
0.1,safety,9.225682355463505,0.1998,MEDIUM,4,False,False,0.5046908833328932
