run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,light,0.25,thread_steady_v1,1,,MEDIUM,111.282,0.256,8.7,76.3,,,,,,none,0.064,105.504,4.786,0.98,767.23,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,4.94825,5.574693,6.201136,7.266,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
1,0,adaptive,light,0.25,thread_steady_v1,1,,MEDIUM,96.848,0.1915,0.0,76.6,,,,,,none,0.008,95.601,0.573,0.669,96.868,onnx,CPUExecutionProvider,{},False,33,True,007377.png,,,,0.498773,0.535873,0.572974,5.532,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
2,0,adaptive,light,0.25,thread_steady_v1,1,,MEDIUM,97.982,0.1918,0.0,76.7,,,,,,none,8.096,96.663,0.602,0.711,106.088,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,0.546406,0.587091,0.627775,5.534,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
3,0,adaptive,light,0.25,thread_steady_v1,1,,MEDIUM,100.117,0.192,0.0,76.8,,,,,,none,0.047,98.858,0.564,0.69,100.172,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,0.516086,0.554552,0.593018,5.536,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
4,0,adaptive,light,0.25,thread_steady_v1,1,,MEDIUM,99.939,0.393,26.8,76.8,,,,,,none,0.046,98.66,0.594,0.679,99.993,onnx,CPUExecutionProvider,{},False,35,False,007244.png,,,,0.917138,1.089526,1.261915,10.896,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
5,0,adaptive,light,0.25,thread_steady_v1,1,,MEDIUM,101.127,0.5707,50.5,76.8,,,,,,none,0.047,99.801,0.609,0.712,101.182,onnx,CPUExecutionProvider,{},False,45,False,007031.png,,,,1.287744,1.582082,1.876421,15.636,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
6,0,adaptive,light,0.25,thread_steady_v1,1,,SMALL,21.051,0.5038,41.6,76.7,,,,,,none,0.123,20.291,0.458,0.295,21.185,onnx,CPUExecutionProvider,{},False,9,False,006369.png,,,,0.241306,0.293495,0.345684,13.854,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
7,0,adaptive,light,0.25,thread_steady_v1,1,,SMALL,18.002,0.5038,41.6,76.7,,,,,,none,0.059,17.333,0.372,0.292,18.069,onnx,CPUExecutionProvider,{},False,0,False,006254.png,,,,0.205821,0.250335,0.294849,13.854,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
8,0,adaptive,light,0.25,thread_steady_v1,1,,SMALL,18.143,0.5038,41.6,76.7,,,,,,none,0.058,17.503,0.303,0.331,18.21,onnx,CPUExecutionProvider,{},False,43,False,006781.png,,,,0.207416,0.252276,0.297135,13.854,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
9,0,adaptive,light,0.25,thread_steady_v1,1,,SMALL,17.515,0.5038,41.6,76.7,,,,,,none,0.047,16.978,0.268,0.266,17.57,onnx,CPUExecutionProvider,{},False,11,False,006840.png,,,,0.200126,0.243409,0.286692,13.854,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
