run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
91,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,133.655,0.192,0.0,76.8,,,,,,none,0.004,131.655,0.895,1.093,133.676,onnx,CPUExecutionProvider,{},False,83,False,006853.png,,,,0.688698,0.74003,0.791361,5.536,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
92,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,141.706,0.606,55.4,76.2,,,,,,none,0.004,139.876,0.815,1.004,141.724,onnx,CPUExecutionProvider,{},False,54,True,006909.png,,,,1.906614,2.353186,2.799758,16.604,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
93,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,134.3,0.614,56.5,76.1,,,,,,none,0.004,132.63,0.767,0.895,134.314,onnx,CPUExecutionProvider,{},False,42,False,006137.png,,,,1.828892,2.259436,2.689981,16.822,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
94,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.189,0.5673,50.5,75.4,,,,,,none,0.083,23.503,0.348,0.332,24.281,onnx,CPUExecutionProvider,{},False,0,False,006875.png,,,,0.308517,0.378981,0.449445,15.608,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
95,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.335,0.5673,50.5,75.4,,,,,,none,0.004,23.627,0.381,0.32,24.347,onnx,CPUExecutionProvider,{},False,0,False,006359.png,,,,0.309357,0.380013,0.450669,15.608,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
96,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,25.315,0.5673,50.5,75.4,,,,,,none,0.003,24.563,0.36,0.386,25.326,onnx,CPUExecutionProvider,{},False,17,False,006517.png,,,,0.321787,0.395282,0.468777,15.608,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
97,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.1,0.1888,0.0,75.5,,,,,,none,0.003,23.26,0.393,0.441,24.114,onnx,CPUExecutionProvider,{},False,39,False,007435.png,,,,0.123765,0.132868,0.141971,5.51,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
98,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.436,0.1888,0.0,75.5,,,,,,none,0.003,23.725,0.377,0.33,24.446,onnx,CPUExecutionProvider,{},False,1,False,007310.png,,,,0.12547,0.134698,0.143927,5.51,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
99,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,131.722,0.1888,0.0,75.5,,,,,,none,0.085,130.03,0.783,0.903,131.816,onnx,CPUExecutionProvider,{},False,50,False,006972.png,,,,0.676546,0.726307,0.776067,5.51,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
100,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,132.375,0.1888,0.0,75.5,,,,,,none,0.004,130.742,0.734,0.892,132.389,onnx,CPUExecutionProvider,{},False,51,False,007218.png,,,,0.679485,0.729461,0.779438,5.51,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
101,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,131.272,0.1888,0.0,75.5,,,,,,none,0.003,129.631,0.755,0.879,131.285,onnx,CPUExecutionProvider,{},False,46,False,007225.png,,,,0.673821,0.723381,0.772941,5.51,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
102,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,132.211,0.1888,0.0,75.5,,,,,,none,0.003,130.473,0.746,0.986,132.224,onnx,CPUExecutionProvider,{},False,89,True,007188.png,,,,0.678638,0.728553,0.778467,5.51,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
103,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,126.135,0.548,47.9,75.5,,,,,,none,0.004,124.564,0.733,0.832,126.15,onnx,CPUExecutionProvider,{},False,47,False,006718.png,,,,1.553847,1.903597,2.253347,15.09,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
104,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,130.863,0.524,44.7,75.5,,,,,,none,0.003,129.309,0.731,0.817,130.875,onnx,CPUExecutionProvider,{},False,20,False,006505.png,,,,1.549228,1.891138,2.233048,14.45,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
105,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,23.895,0.621,57.6,75.6,,,,,,none,0.079,23.018,0.396,0.477,23.985,onnx,CPUExecutionProvider,{},False,57,False,006602.png,,,,0.330367,0.40851,0.486652,17.032,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
106,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,24.194,0.621,57.6,75.6,,,,,,none,0.003,23.48,0.319,0.391,24.205,onnx,CPUExecutionProvider,{},False,24,False,006923.png,,,,0.333399,0.412258,0.491118,17.032,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
