run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,adaptive,moderate,0.5,thread_steady_v1,2,,MEDIUM,113.508,0.2755,10.2,79.6,,,,,,none,0.052,104.553,6.825,2.121,834.556,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,5.611558,6.369335,7.127112,7.632,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
1,0,adaptive,moderate,0.5,thread_steady_v1,2,,MEDIUM,97.727,0.1993,0.0,79.7,,,,,,none,0.005,96.382,0.668,0.671,97.747,onnx,CPUExecutionProvider,{},False,33,True,007377.png,,,,0.507847,0.546799,0.585752,5.594,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
2,0,adaptive,moderate,0.5,thread_steady_v1,2,,MEDIUM,99.304,0.1993,0.0,79.7,,,,,,none,8.284,97.842,0.643,0.813,107.598,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,0.559027,0.601905,0.644783,5.594,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
3,0,adaptive,moderate,0.5,thread_steady_v1,2,,MEDIUM,98.424,0.548,46.3,80.3,,,,,,none,0.049,97.237,0.55,0.632,98.482,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,1.196506,1.464032,1.731558,14.866,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
4,0,adaptive,moderate,0.5,thread_steady_v1,2,,SMALL,24.831,0.5577,47.6,80.3,,,,,,none,0.111,24.066,0.475,0.285,24.949,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,0.307985,0.377381,0.446777,15.126,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
5,0,adaptive,moderate,0.5,thread_steady_v1,2,,SMALL,18.983,0.5577,47.6,80.3,,,,,,none,0.055,18.176,0.404,0.396,19.048,onnx,CPUExecutionProvider,{},False,35,False,007031.png,,,,0.235144,0.288128,0.341111,15.126,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
6,0,adaptive,moderate,0.5,thread_steady_v1,2,,SMALL,17.859,0.5577,47.6,80.3,,,,,,none,0.046,17.316,0.263,0.276,17.913,onnx,CPUExecutionProvider,{},False,9,False,006369.png,,,,0.221125,0.27095,0.320775,15.126,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
7,0,adaptive,moderate,0.5,thread_steady_v1,2,,SMALL,17.723,0.554,47.1,80.3,,,,,,none,0.045,17.187,0.292,0.24,17.776,onnx,CPUExecutionProvider,{},False,0,False,006254.png,,,,0.218099,0.267097,0.316096,15.026,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
8,0,adaptive,moderate,0.5,thread_steady_v1,2,,SMALL,18.059,0.554,47.1,80.3,,,,,,none,0.044,17.334,0.371,0.35,18.111,onnx,CPUExecutionProvider,{},False,43,False,006781.png,,,,0.222207,0.272129,0.322051,15.026,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
9,0,adaptive,moderate,0.5,thread_steady_v1,2,,SMALL,17.914,0.554,47.1,80.3,,,,,,none,0.051,17.315,0.297,0.297,17.973,onnx,CPUExecutionProvider,{},False,11,False,006840.png,,,,0.220516,0.270058,0.3196,15.026,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
