tier,imgsz,map50,map5095,vru_recall,vru_precision,vru_f1,vru_fn_rate,frame_miss_rate
NANO,320,0.372,0.253,0.4972,0.7778,0.6066,0.5028,0.1131
SMALL,416,0.448,0.3046,0.6407,0.8084,0.7148,0.3593,0.0119
MEDIUM,640,0.503,0.342,0.7674,0.7717,0.7696,0.2326,0.0119
