21:49:52  INFO     [RAMS] Starting resource monitor ...
21:49:52  INFO     [RAMS] Loading model tiers ...
[0;93m2026-09-08 21:49:53.006609326 [W:onnxruntime:Default, device_discovery.cc:164 DiscoverDevicesForPlatform] GPU device discovery failed: device_discovery.cc:89 ReadFileContents Failed to open file: "/sys/class/drm/card0/device/vendor"[m
21:49:53  INFO     [RAMS] YOLOv8-nano ready — ONNX (imgsz=320).
21:49:53  INFO     [RAMS] YOLOv8-small ready — ONNX (imgsz=416).
21:49:54  INFO     [RAMS] YOLOv8-medium ready — ONNX (imgsz=640).
21:49:54  INFO     [RAMS] Controller ready. Policy: safety
21:49:57  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.655)
21:49:57  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.655)
21:49:59  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.703)
21:49:59  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.678)
21:50:00  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.675)
21:50:00  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.596)
21:50:02  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.612)
21:50:02  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.596)
21:50:04  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.618)
21:50:04  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.602)
21:50:06  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.608)
21:50:06  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.629)
21:50:07  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.648)
21:50:07  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.596)
21:50:09  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.629)
21:50:09  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.626)
[safety, conf=0.25] 100/1500
21:50:12  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.642)
21:50:12  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.602)
21:50:13  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.637)
21:50:13  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.602)
21:50:14  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.613)
21:50:14  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.604)
21:50:15  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.670)
21:50:16  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.667)
21:50:17  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.676)
21:50:17  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.644)
21:50:17  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.660)
21:50:18  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.654)
21:50:19  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.709)
21:50:19  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.684)
21:50:20  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.667)
21:50:20  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.651)
21:50:21  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.655)
21:50:21  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.692)
[safety, conf=0.25] 200/1500
21:50:23  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.618)
21:50:23  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.596)
21:50:24  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.625)
21:50:25  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.591)
21:50:25  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.624)
21:50:26  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.596)
21:50:29  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.619)
21:50:30  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.603)
21:50:31  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.626)
21:50:31  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.604)
21:50:32  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.630)
21:50:32  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.599)
21:50:34  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.610)
21:50:35  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.602)
