run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
0,0,threshold,burst,0.85,process_isolated_burst_v2,9,0,SMALL,31.235,0.2052,0.0,82.1,,,,,,none,0.011,29.567,1.143,0.509,638.735,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,threshold,burst,0.85,process_isolated_burst_v2,9,1,SMALL,22.555,0.7575,73.5,82.5,,,,,,none,0.005,21.471,0.586,0.489,22.575,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,threshold,burst,0.85,process_isolated_burst_v2,9,2,SMALL,21.725,0.7575,73.5,82.5,,,,,,none,0.002,21.023,0.33,0.364,21.739,onnx,CPUExecutionProvider,{},False,45,False,006587.png,,,,,,,,,,False
3,0,threshold,burst,0.85,process_isolated_burst_v2,9,3,SMALL,25.116,0.7575,73.5,82.5,,,,,,none,0.002,24.099,0.315,0.695,25.128,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,threshold,burst,0.85,process_isolated_burst_v2,9,4,SMALL,25.169,0.8905,91.3,82.3,,,,,,none,0.005,24.468,0.325,0.369,25.187,onnx,CPUExecutionProvider,{},False,5,False,007244.png,,,,,,,,,,False
0,0,predictive,burst,0.85,process_isolated_burst_v2,9,0,MEDIUM,134.824,0.2068,0.0,82.7,,,,,,none,0.253,131.74,1.663,1.386,135.119,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,,,,,,,False
1,0,predictive,burst,0.85,process_isolated_burst_v2,9,1,MEDIUM,118.871,0.2068,0.0,82.7,,,,,,none,0.01,117.345,0.683,0.836,118.893,onnx,CPUExecutionProvider,{},False,33,True,007377.png,,,,,,,,,,False
2,0,predictive,burst,0.85,process_isolated_burst_v2,9,2,MEDIUM,116.652,0.916,94.5,82.9,,,,,,none,0.003,115.121,0.658,0.867,116.666,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,predictive,burst,0.85,process_isolated_burst_v2,9,3,SMALL,20.682,0.9123,94.0,82.9,,,,,,none,0.082,19.65,0.689,0.334,20.781,onnx,CPUExecutionProvider,{},False,12,False,006905.png,,,,,,,,,,False
4,0,predictive,burst,0.85,process_isolated_burst_v2,9,4,NANO,7.856,0.9218,95.2,83.1,,,,,,none,0.064,7.036,0.258,0.555,7.939,onnx,CPUExecutionProvider,{},False,4,False,007244.png,,,,,,,,,,False
0,0,safety,burst,0.85,process_isolated_burst_v2,9,0,SMALL,21.793,0.2057,0.0,82.3,,,,,,none,0.068,20.646,0.673,0.405,21.965,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,safety,burst,0.85,process_isolated_burst_v2,9,1,SMALL,19.806,0.2057,0.0,82.3,,,,,,none,0.007,19.027,0.456,0.315,19.823,onnx,CPUExecutionProvider,{},False,18,True,007377.png,,,,,,,,,,False
2,0,safety,burst,0.85,process_isolated_burst_v2,9,2,MEDIUM,124.352,0.2057,0.0,82.3,,,,,,none,0.176,121.677,1.481,1.184,124.539,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,safety,burst,0.85,process_isolated_burst_v2,9,3,MEDIUM,118.882,0.2057,0.0,82.3,,,,,,none,0.004,117.305,0.788,0.781,118.897,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,safety,burst,0.85,process_isolated_burst_v2,9,4,MEDIUM,117.697,0.9127,94.2,82.5,,,,,,none,0.004,116.245,0.607,0.836,117.712,onnx,CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
0,0,adaptive,burst,0.85,process_isolated_burst_v2,9,0,MEDIUM,122.184,0.2062,0.0,82.5,,,,,,none,0.224,119.451,1.528,1.182,122.456,onnx,CPUExecutionProvider,{},False,47,True,006201.png,,,,,,,,,,False
1,0,adaptive,burst,0.85,process_isolated_burst_v2,9,1,MEDIUM,119.849,0.2062,0.0,82.5,,,,,,none,0.007,118.361,0.643,0.836,119.868,onnx,CPUExecutionProvider,{},False,33,True,007377.png,,,,,,,,,,False
2,0,adaptive,burst,0.85,process_isolated_burst_v2,9,2,SMALL,25.828,0.8705,88.6,82.4,,,,,,none,9.274,24.804,0.593,0.423,35.115,onnx,CPUExecutionProvider,{},False,45,False,006587.png,,,,,,,,,,False
3,0,adaptive,burst,0.85,process_isolated_burst_v2,9,3,NANO,8.471,0.9485,99.0,82.4,,,,,,none,0.137,7.858,0.413,0.189,8.617,onnx,CPUExecutionProvider,{},False,5,False,006905.png,,,,,,,,,,False
4,0,adaptive,burst,0.85,process_isolated_burst_v2,9,4,NANO,6.659,0.9485,99.0,82.4,,,,,,none,0.066,6.19,0.264,0.198,6.733,onnx,CPUExecutionProvider,{},False,4,False,007244.png,,,,,,,,,,False
0,0,safety2,burst,0.85,process_isolated_burst_v2,9,0,SMALL,21.146,0.206,0.0,82.4,,,,,,none,0.017,19.854,0.882,0.371,21.217,onnx,CPUExecutionProvider,{},False,9,True,006201.png,,,,,,,,,,False
1,0,safety2,burst,0.85,process_isolated_burst_v2,9,1,MEDIUM,122.788,0.206,0.0,82.4,,,,,,none,0.162,120.26,1.396,1.123,122.962,onnx,CPUExecutionProvider,{},False,33,True,007377.png,,,,,,,,,,False
2,0,safety2,burst,0.85,process_isolated_burst_v2,9,2,MEDIUM,123.163,0.206,0.0,82.4,,,,,,none,0.005,118.354,0.701,4.1,123.179,onnx,CPUExecutionProvider,{},False,60,False,006587.png,,,,,,,,,,False
3,0,safety2,burst,0.85,process_isolated_burst_v2,9,3,MEDIUM,173.615,0.206,0.0,82.4,,,,,,none,0.004,171.842,0.789,0.975,173.639,onnx,CPUExecutionProvider,{},False,19,False,006905.png,,,,,,,,,,False
4,0,safety2,burst,0.85,process_isolated_burst_v2,9,4,MEDIUM,158.025,0.9427,98.1,82.8,,,,,,none,0.004,156.245,0.923,0.844,158.045,onnx,CPUExecutionProvider,{},False,35,False,007244.png,,,,,,,,,,False
