run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
15,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.123,0.5962,52.9,79.8,,,,,,none,0.053,17.344,0.341,0.432,18.184,onnx,CPUExecutionProvider,{},False,28,False,007087.png,,,,0.238786,0.294137,0.349488,16.176,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
16,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.246,0.5962,52.9,79.8,,,,,,none,0.05,17.602,0.29,0.348,18.304,onnx,CPUExecutionProvider,{},False,21,False,006681.png,,,,0.240365,0.296081,0.351798,16.176,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
17,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.219,0.5962,52.9,79.8,,,,,,none,0.047,17.293,0.308,0.612,18.276,onnx,CPUExecutionProvider,{},False,42,False,006319.png,,,,0.240002,0.295634,0.351266,16.176,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
18,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.109,0.5962,52.9,79.8,,,,,,none,0.046,17.433,0.293,0.378,18.162,onnx,CPUExecutionProvider,{},False,14,False,007392.png,,,,0.238509,0.293796,0.349082,16.176,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
19,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.957,0.6082,54.5,79.8,,,,,,none,0.054,17.298,0.339,0.316,18.019,onnx,CPUExecutionProvider,{},False,0,False,006148.png,,,,0.240946,0.297237,0.353527,16.496,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
20,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.302,0.6082,54.5,79.8,,,,,,none,0.046,17.623,0.313,0.363,18.358,onnx,CPUExecutionProvider,{},False,0,False,006447.png,,,,0.245485,0.302836,0.360186,16.496,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
21,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.746,0.6082,54.5,79.8,,,,,,none,0.045,18.124,0.28,0.337,18.797,onnx,CPUExecutionProvider,{},False,13,True,006857.png,,,,0.251356,0.310078,0.3688,16.496,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
22,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.51,0.6082,54.5,79.8,,,,,,none,0.049,17.646,0.408,0.452,18.568,onnx,CPUExecutionProvider,{},False,45,False,006127.png,,,,0.24829,0.306296,0.364303,16.496,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
23,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.013,0.603,53.8,79.8,,,,,,none,0.041,17.422,0.272,0.316,18.062,onnx,CPUExecutionProvider,{},False,8,False,006831.png,,,,0.239622,0.295415,0.351207,16.356,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
24,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.283,0.603,53.8,79.8,,,,,,none,0.042,17.621,0.336,0.321,18.334,onnx,CPUExecutionProvider,{},False,1,False,006461.png,,,,0.243233,0.299865,0.356498,16.356,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
